"dI/dV (normalized)(Bias Voltage (mV)), created by Plot Digitizer, 2.6.8",
1.61658,0.647727
1.66321,0.639205
1.6943,0.650568
1.75648,0.65625
1.72539,0.627841
1.74093,0.602273
1.77202,0.610795
1.77202,0.596591
1.78756,0.596591
1.86528,0.59375
1.86528,0.610795
1.88083,0.616477
1.88083,0.602273
1.89637,0.585227
1.94301,0.568182
1.98964,0.573864
2.03627,0.565341
2.0829,0.565341
2.0829,0.556818
2.14508,0.5625
2.14508,0.553977
2.2228,0.5625
2.20725,0.542614
2.34715,0.536932
2.33161,0.53125
2.37824,0.519886
2.48705,0.536932
2.48705,0.536932
2.53368,0.525568
2.6114,0.517045
2.64249,0.528409
2.66466,0.534091
2.68912,0.517045
2.67358,0.502841
2.70466,0.494318
2.78238,0.497159
2.81347,0.5
2.84456,0.511364
2.89119,0.517045
2.89119,0.53125
2.92228,0.542614
-2.92228,0.485795
-2.82902,0.494318
-2.79793,0.5
-2.78238,0.502841
-2.68912,0.502841
-2.64249,0.502841
-2.64249,0.511364
-2.4715,0.505682
-2.4515,0.511364
-2.4215,0.511364
-2.40933,0.511364
-2.34715,0.511364
-2.17617,0.519886
-2.12953,0.505682
-2.02073,0.505682
-1.95855,0.508523
-1.94301,0.525568
-1.88083,0.53125
-1.88083,0.539773
-1.86528,0.551136
-1.86528,0.565341
-1.84974,0.571023
-1.81865,0.576705
-1.81865,0.585227
-1.81865,0.59375
-1.74093,0.613636
-1.74093,0.622159
-1.74093,0.633523
-1.74093,0.647727
-1.6943,0.65625
-1.66321,0.670455
-1.66321,0.681818
-1.67876,0.707386
-1.61658,0.721591
-1.61658,0.727273
-1.61658,0.738636
-1.56995,0.752841
-1.56995,0.761364
-1.56995,0.772727
-1.56995,0.78125
-1.49223,0.798295
-1.52332,0.815341
-1.49223,0.832386
-1.46114,0.835227
-1.46114,0.84375
-1.41451,0.857955
-1.39896,0.860795
-1.32124,0.84375
-1.32124,0.835227
-1.27461,0.815341
-1.27461,0.803977
-1.25907,0.772727
-1.24352,0.744318
-1.24352,0.738636
-1.22798,0.704545
-1.18135,0.650568
-1.15026,0.619318
-1.15026,0.596591
-1.13472,0.568182
-1.13472,0.559659
-1.13472,0.553977
-1.15026,0.536932
-1.15026,0.514205
-1.08808,0.460227
-1.05699,0.443182
-1.05699,0.428977
-1.05699,0.403409
-1.04145,0.386364
-1.02591,0.357955
-1.01036,0.335227
-1.01036,0.321023
-0.963731,0.286932
-0.963731,0.267045
-0.948187,0.210227
-0.901554,0.193182
-0.870466,0.178977
-0.80829,0.119318
-0.80829,0.105114
-0.80829,0.0909091
-0.80829,0.0710227
-0.715026,0.0454545
-0.683938,0.0340909
-0.683938,0.0284091
-0.621762,0.0255682
-0.544041,0.0255682
-0.481865,0.0113636
-0.419689,0.0170455
-0.341969,0.0113636
-0.326425,0.0142045
-0.233161,0.0170455
-0.186529,0.0170455
-0.0777202,0.0170455
-0.0310881,0.0142045
0.0621762,0.0142045
0.139896,0.0142045
0.170984,0.0142045
0.264249,0.0170455
0.310881,0.0142045
0.435233,0.0142045
0.497409,0.0170455
0.52513,0.0198864
0.57513,0.03125
0.637306,0.0426136
0.663938,0.0539773
0.683938,0.0653409
0.715026,0.0823864
0.718026,0.0994318
0.761658,0.130682
0.823834,0.147727
0.830378,0.170455
0.835378,0.1875
0.839378,0.207386
0.88601,0.247159
0.917098,0.286932
0.932642,0.301136
0.948187,0.321023
0.994819,0.369318
0.994819,0.394886
0.994819,0.428977
0.994819,0.451705
1.01036,0.46875
1.04145,0.494318
1.05699,0.517045
1.07254,0.545455
1.07254,0.5625
1.08808,0.588068
1.10363,0.602273
1.13472,0.630682
1.11917,0.664773
1.11917,0.678977
1.15026,0.701705
1.15026,0.71875
1.15026,0.741477
1.21244,0.784091
1.21244,0.801136
1.21244,0.8125
1.21244,0.826705
1.21244,0.835227
1.24352,0.84375
1.25907,0.852273
1.29016,0.863636
1.3057,0.872159
1.35233,0.860795
1.29016,0.84375
1.36788,0.835227
1.36788,0.821023
1.41451,0.8125
1.43005,0.789773
1.43005,0.784091
1.47668,0.775568
1.47668,0.769886
1.50777,0.747159
1.50777,0.738636
1.5544,0.732955
1.58549,0.710227
1.58549,0.704545
1.64767,0.684659
1.64767,0.678977
1.66321,0.661932
1.74093,0.653409
1.75648,0.625
1.84974,0.619318
1.84974,0.607955
1.91192,0.59375
1.92746,0.576705
1.98964,0.579545
2.02073,0.579545
2.03627,0.565341
2.14508,0.568182
2.14508,0.565341
2.23834,0.551136
2.20725,0.545455
2.30052,0.534091
2.36269,0.536932
2.39378,0.525568
2.4715,0.528409
2.4715,0.525568
2.48705,0.517045
2.56477,0.508523
2.59585,0.511364
2.67358,0.511364
2.70466,0.5
2.78238,0.494318
2.79793,0.482955
2.84456,0.482955
2.92228,0.494318
2.96891,0.5
-2.92228,0.491477
-2.81347,0.488636
-2.79793,0.488636
-2.76684,0.497159
-2.73575,0.494318
-2.70466,0.494318
-2.64249,0.5
-2.53368,0.5
-2.4715,0.494318
-2.42487,0.508523
-2.40933,0.502841
-2.25389,0.517045
-2.33161,0.494318
-2.28497,0.497159
-2.2228,0.502841
-2.20725,0.502841
-2.16062,0.497159
-2.11399,0.502841
-2.11399,0.494318
-2.0829,0.494318
-2.00518,0.482955
-1.98964,0.491477
-1.91192,0.508523
-1.89637,0.508523
-1.86528,0.514205
-1.8342,0.514205
-1.78756,0.522727
-1.70984,0.542614
-1.67876,0.559659
-1.66321,0.579545
-1.63212,0.579545
-1.63212,0.596591
-1.60104,0.599432
-1.58549,0.607955
-1.58549,0.616477
-1.58549,0.619318
-1.53886,0.630682
-1.56995,0.630682
-1.50777,0.633523
-1.50777,0.642045
-1.43005,0.647727
-1.4456,0.65625
-1.4456,0.670455
-1.39896,0.684659
-1.36788,0.6875
-1.22798,0.661932
-1.22798,0.659091
-1.21244,0.650568
-1.21244,0.636364
-1.18135,0.602273
-1.18135,0.590909
-1.13472,0.559659
-1.1658,0.536932
-1.11917,0.514205
-1.08808,0.488636
-1.08808,0.480114
-1.07254,0.446023
-1.04145,0.428977
-1.07254,0.394886
-1.02591,0.380682
-1.01036,0.375
-0.994819,0.360795
-0.948187,0.315341
-0.932642,0.289773
-0.901554,0.278409
-0.901554,0.261364
-0.88601,0.247159
-0.870466,0.224432
-0.870466,0.21875
-0.870466,0.201705
-0.839378,0.190341
-0.839378,0.178977
-0.80829,0.167614
-0.80829,0.15625
-0.777202,0.133523
-0.777202,0.125
-0.746114,0.107955
-0.73057,0.107955
-0.683938,0.107955
-0.668394,0.102273
-0.621762,0.102273
-0.606218,0.0994318
-0.544041,0.110795
-0.481865,0.142045
-0.466321,0.153409
-0.404145,0.167614
-0.388601,0.176136
-0.326425,0.181818
-0.264249,0.215909
-0.170984,0.338068
-0.139896,0.431818
-0.139896,0.454545
-0.0932643,0.477273
-0.0777202,0.502841
-0.0621762,0.576705
-0.0621762,0.545455
-0.0621762,0.5625
0,0.59375
0.0310881,0.565341
0.0466321,0.545455
0.0621762,0.53125
0.0621762,0.511364
0.0777202,0.494318
0.108808,0.46875
0.15544,0.426136
0.15544,0.392045
0.186529,0.360795
0.186529,0.349432
0.202073,0.323864
0.202073,0.309659
0.202073,0.298295
0.202073,0.286932
0.217617,0.258523
0.233161,0.238636
0.248705,0.227273
0.279793,0.21875
0.310881,0.210227
0.357513,0.210227
0.419689,0.198864
0.419689,0.215909
0.466321,0.210227
0.528497,0.196023
0.544041,0.196023
0.606218,0.181818
0.668394,0.173295
0.777202,0.198864
0.777202,0.21875
0.823834,0.230114
0.839378,0.258523
0.839378,0.272727
0.854922,0.286932
0.901554,0.306818
0.901554,0.323864
0.917098,0.340909
0.917098,0.375
0.963731,0.403409
0.963731,0.414773
0.979275,0.426136
0.994819,0.454545
1.02591,0.474432
1.02591,0.494318
1.07254,0.536932
1.07254,0.568182
1.10363,0.590909
1.11917,0.625
1.13472,0.639205
1.1658,0.650568
1.19689,0.676136
1.24352,0.684659
1.29016,0.6875
1.32124,0.701705
1.33679,0.707386
1.35233,0.690341
1.38342,0.678977
1.43005,0.667614
1.46114,0.653409
1.50777,0.639205
1.50777,0.625
1.5544,0.622159
1.63212,0.599432
1.70984,0.585227
1.70984,0.576705
1.8342,0.5625
2.05181,0.545455
2.23834,0.528409
2.33161,0.525568
2.37824,0.514205
2.42487,0.517045
2.53368,0.505682
2.56477,0.505682
2.6114,0.505682
2.65803,0.502841
2.7513,0.482955
2.78238,0.482955
2.8601,0.491477
2.95337,0.514205
2.98446,0.528409
