"LD (%)(Distance), created by Plot Digitizer, 2.6.8",
"Date: 22/01/18, 14:24:55",
,
,
609,
Distance,LD (%)
65K,153
2121.97,-0.00308942
2155.03,0.00151897
2193.39,0.000838149
2253.61,-0.00183649
2423.33,-0.00919389
2505.56,-0.00989759
2543.94,-0.00991761
2582.45,-0.00663367
2719.34,-0.0119915
2779.8,-0.00805824
2829.17,-0.00742319
2911.42,-0.0074661
2960.75,-0.00815264
3004.68,-0.00619315
3092.39,-0.00689971
3191.07,-0.00761199
3278.68,-0.0109617
3294.99,-0.0149351
3465.28,-0.00643343
3651.88,-0.00190514
3701.09,-0.00589565
3739.26,-0.0118628
3766.63,-0.0131987
,
204K,59
43.7952,-0.00200526
82.1309,-0.00334687
98.6757,-0.000712283
197.375,-0.000763774
230.322,0.000540649
301.629,0.00116425
394.893,0.00243721
422.333,0.0030837
515.597,0.00435666
581.396,0.00432233
652.608,0.00230276
696.427,0.000958293
756.72,0.000266034
794.984,-0.00305796
827.907,-0.00241433
877.257,-0.00244007
932.138,-0.00114709
1019.87,-0.00119286
1074.7,-0.00122147
1222.82,0.000683678
1326.94,-0.00135305
1425.64,-0.00140454
1475.03,-0.000108702
1529.89,0.000523485
1584.72,0.00049488
1639.67,0.00377024
1700.13,0.00770353
1738.52,0.00768351
1825.99,0.000369014
1908.24,0.000326106
1968.6,0.00161623
1985.1,0.00292923
2040,0.004883
2094.88,0.00617598
2155.01,0.000858173
2226.2,-0.00182219
2259.22,0.00146461
2286.61,0.000789519
2330.45,0.000105841
2401.64,-0.00257452
2467.49,-0.00128726
2544.25,-0.00132731
2604.62,-3.72E-05
2681.38,-7.72E-05
2785.64,0.00185079
2862.36,0.000489158
2911.71,0.000463413
3065.14,-0.00225985
3114.44,-0.00360719
3191.21,-0.00364723
3235.05,-0.00433091
3377.5,-0.00770925
3399.55,-0.00441673
3498.35,-0.00182505
3531.34,0.000800961
3575.28,0.00276046
3624.56,0.000752331
3651.83,-0.00322673
3739.14,-0.0151668
