"Resistivity (mWcm)(Temperature (K)), created by Plot Digitizer, 2.6.8",
218.187,0.0653692
222.439,0.0677513
224.99,0.0693409
232.636,0.0725066
234.341,0.0741007
238.592,0.0764829
241.982,0.0764648
255.575,0.0820036
263.225,0.0859708
268.339,0.0907533
273.438,0.0931309
279.374,0.0939008
284.473,0.0962784
287.892,0.10107
291.282,0.101052
293.833,0.102641
297.237,0.105028
298.932,0.105019
5.11331,0.00478245
9.35525,0.00556141
12.745,0.00554329
22.0667,0.00549347
30.541,0.00544818
38.1679,0.00540743
42.4146,0.00698799
50.0415,0.00694723
53.4312,0.00692911
59.3632,0.00689741
71.2368,0.00843721
80.5634,0.009189
85.6623,0.0115666
102.63,0.0146825
108.567,0.0154524
113.666,0.01783
129.791,0.021752
134.88,0.0225264
140.831,0.0257011
148.458,0.0256604
154.405,0.0280335
162.889,0.0295914
167.992,0.0327706
176.467,0.0327253
181.575,0.0367062
188.359,0.0374716
201.095,0.0414116
208.736,0.0437757
211.293,0.0461669
219.777,0.0477248
226.566,0.0492918
233.369,0.0532636
241.005,0.054826
245.252,0.0564066
251.203,0.0595813
258.845,0.0619454
274.994,0.0698753
270.742,0.0674932
283.473,0.0706317
288.567,0.0722077
292.814,0.0737883
294.523,0.076184
299.622,0.0785616
4.25152,0.00238217
9.3361,0.00235499
15.2681,0.00232329
18.653,0.00150357
22.895,0.00228253
29.6792,0.0030479
34.7638,0.00302073
44.933,0.00296638
51.722,0.00453336
62.7386,0.00447449
67.8327,0.00605052
72.9173,0.00602335
78.8589,0.00759485
83.9435,0.00756768
94.1175,0.00831493
101.749,0.00907578
109.395,0.0122414
116.179,0.0130068
122.116,0.0137767
126.353,0.0137541
131.447,0.0153301
139.084,0.0168925
143.331,0.0184731
149.263,0.0184414
154.352,0.0192158
159.446,0.0207919
165.388,0.0223634
175.567,0.0239122
183.213,0.0270779
187.455,0.0278568
196.791,0.0302118
206.122,0.0317652
212.068,0.0341383
219.7,0.0348992
228.189,0.0372587
233.288,0.0396363
240.062,0.0387985
244.319,0.0419823
249.417,0.0443599
257.049,0.0451207
264.69,0.0474848
270.632,0.0490563
277.421,0.0506233
290.161,0.055365
296.108,0.0577381
298.659,0.0593277
