"Magnetic Susceptibility (emu/g Oe)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/03/25, 9:15:01",
,
,
449,
Temperature (K),Magnetic Susceptibility (emu/g Oe)
3.55985,-0.000617901
3.57143,-0.000579012
3.59459,-0.000561728
3.62934,-0.000531481
3.66409,-0.000505556
3.68726,-0.00047963
3.69884,-0.000458025
3.74517,-0.000423457
3.81467,-0.000388889
3.861,-0.000362963
3.87259,-0.00035
3.96525,-0.000302469
4.01158,-0.000272222
4.03475,-0.000254938
4.09266,-0.000229012
4.15058,-0.000190123
4.18533,-0.00017284
4.27799,-0.000146914
4.34749,-0.000125309
4.41699,-9.94E-05
4.67181,-4.32E-05
4.77606,-2.16E-05
4.99614,-1.30E-05
5.40154,-8.64E-06
5.67954,0
5.83012,4.32E-06
5.99228,4.32E-06
6.21236,0
6.39768,0
6.50193,4.32E-06
6.71042,0
6.79151,0
6.88417,-4.32E-06
7,1.30E-05
1.86873,-0.000916049
1.97297,-0.000890123
2.07722,-0.000859877
2.16988,-0.000825309
2.27413,-0.000799383
2.3668,-0.000756173
2.47104,-0.000734568
2.54054,-0.000691358
2.62162,-0.000652469
2.80695,-0.000561728
2.86486,-0.000522839
2.95753,-0.000483951
3.08494,-0.000427778
3.16602,-0.00039321
3.22394,-0.000375926
3.33977,-0.000345679
3.43243,-0.000311111
3.51351,-0.000280864
3.53668,-0.000259259
3.58301,-0.000237654
3.69884,-0.00022037
3.74517,-0.000203086
3.82625,-0.000181481
3.90734,-0.000151235
3.96525,-0.000146914
4.08108,-0.000125309
4.20849,-0.000103704
4.27799,-8.21E-05
4.33591,-7.35E-05
4.41699,-6.05E-05
4.5444,-4.75E-05
4.7529,-2.16E-05
5.27413,-2.16E-05
5.56371,-1.73E-05
5.93436,-4.32E-06
6.14286,-4.32E-06
6.3166,-4.32E-06
6.49035,-4.32E-06
6.77992,-4.32E-06
6.88417,-4.32E-06
7.02317,4.32E-06
2.87645,-0.00136111
2.88803,-0.00130926
2.9112,-0.00127901
2.94595,-0.00124012
2.99228,-0.00120988
3.00386,-0.00116667
3.00386,-0.00112346
3.06178,-0.00110617
3.06178,-0.0010716
3.09653,-0.00103272
3.13127,-0.00100247
