"Rs (W-1)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/11/08, 10:34:03",
,
,
683,
1.8139,11.951
1.8467,12.648
1.9015,13.206
1.9234,13.798
1.9781,14.425
2.0438,15.575
2.0657,15.889
2.1752,16.655
2.208,16.899
2.3175,17.178
2.427,17.282
2.5365,17.491
2.646,17.561
2.7445,17.666
2.854,17.7
2.9416,17.735
3.0839,17.84
3.1934,17.944
3.3905,17.909
3.5219,17.909
1.8139,13.31
1.8358,13.728
1.8686,14.321
1.9015,14.774
1.9343,15.122
1.9781,15.436
1.9781,15.958
2.0329,16.307
2.0657,16.551
2.0985,16.794
2.1423,16.934
2.219,17.073
2.219,17.212
2.2847,17.352
2.3613,17.422
2.4818,17.526
2.5803,17.666
2.6898,17.736
2.6569,17.775
2.929,17.805
3.0292,17.84
3.1715,17.85
3.3029,17.86
3.6,17.98
3.8,17.9
4,17.92
4.2,17.94
4.4,17.96
4.6606,17.979
4.8577,18.014
4.9781,18.049
1.792,14.564
1.8248,15.087
1.8577,15.575
1.9015,15.854
1.9234,16.063
1.9453,16.272
2,16.551
2,16.794
2.0438,16.864
2.1204,17.108
2.6679,17.84
2.219,17.317
2.2847,17.456
2.3723,17.491
2.4708,17.526
2.5475,17.631
2.646,17.731
2.7336,17.735
3.0292,17.909
3.1825,17.909
1.8248,15.784
1.8686,16.237
1.8905,16.585
1.9562,16.829
2.0219,16.969
2.0766,17.108
2.1423,17.317
2.2628,17.422
2.3394,17.631
2.4489,17.735
2.5693,17.77
2.7883,17.84
2.9088,17.909
3.062,17.909
3.2372,17.944
3.3796,17.944
1.8139,16.341
1.8139,16.551
1.8577,16.829
1.9124,17.038
1.9453,17.212
2.0219,17.352
2.0876,17.491
2.1642,17.526
3.927,17.979
2.3504,17.666
2.4489,17.7
2.5475,17.77
2.8102,17.875
2.8978,17.875
2.9854,17.944
3.1606,17.944
3.2701,17.979
3.3686,17.979
1.801,17.84
1.85,17.84
1.9124,17.84
1.9891,17.84
2.1314,17.84
2.2518,17.84
2.4161,17.84
2.6022,17.84
2.7336,17.875
2.9416,17.875
3.1277,17.909
3.3139,17.909
3.4671,17.944
3.5766,17.979
3.7409,17.979
4.1241,17.979
4.2664,17.979
4.3978,17.979
4.562,17.979
4.6606,17.979
4.8577,18.014
4.9781,18.049
