"MFMMS signal (arb. units)(Temperature (K)), created by Plot Digitizer, 2.6.8",
5.93775,-0.379495
5.97201,-0.37937
6.01056,-0.386546
6.04483,-0.386421
6.09623,-0.39355
6.14334,-0.390695
6.17331,-0.393268
6.21186,-0.393127
6.28036,-0.398242
6.33605,-0.392672
6.37887,-0.395199
6.41319,-0.398976
6.45598,-0.399551
6.48163,-0.392871
6.51592,-0.392014
6.54165,-0.393872
6.58446,-0.399081
6.64869,-0.391529
6.67437,-0.394118
6.71293,-0.391294
6.7686,-0.39109
6.81999,-0.390902
6.84997,-0.390792
6.90135,-0.393287
6.95276,-0.397733
6.97845,-0.390322
6.99987,-0.397561
4.70836,-0.16448
4.7212,-0.157116
4.73405,-0.157069
4.75116,-0.142372
4.76827,-0.127675
4.79824,-0.120249
4.80249,-0.0982817
4.81958,-0.0616337
4.84096,-0.032287
4.84947,0.0116467
4.86657,0.0336606
4.88795,0.0556902
4.88367,0.0556745
4.88795,0.0556902
4.90505,0.0850212
4.94351,0.151016
4.95207,0.158364
4.97346,0.173077
4.98626,0.209709
5.0119,0.253706
5.04185,0.275766
5.07181,0.29051
5.08886,0.356427
5.11453,0.378472
5.13164,0.393169
5.14447,0.40785
5.17018,0.400627
5.17446,0.400642
5.17872,0.422609
5.20011,0.437322
5.20006,0.473907
5.21288,0.495905
5.21287,0.51054
5.22994,0.554505
5.23849,0.56917
5.25136,0.547266
5.26007,0.437541
5.26877,0.313292
5.2774,0.276628
5.27746,0.225409
5.27755,0.159555
5.2819,0.101034
5.28195,0.0644487
5.282,0.0205463
5.29495,-0.0598945
5.30797,-0.198872
5.30808,-0.286677
5.32104,-0.374435
5.32539,-0.425638
5.32972,-0.462208
5.35547,-0.506017
5.35551,-0.542602
5.39835,-0.549762
5.41974,-0.53505
5.43259,-0.535003
5.46686,-0.542195
5.48828,-0.542116
5.52682,-0.541975
5.56964,-0.534501
5.59534,-0.541725
5.64245,-0.541552
5.65956,-0.526855
5.68528,-0.541396
5.71953,-0.533953
5.74953,-0.548478
5.78804,-0.526385
5.81375,-0.533608
5.85657,-0.533452
5.91652,-0.525915
5.94651,-0.533123
6.01073,-0.538254
6.06642,-0.532684
6.10067,-0.525242
6.14779,-0.532386
6.17777,-0.532277
6.2078,-0.536069
6.24198,-0.53009
6.27627,-0.531916
6.31482,-0.531775
6.33622,-0.52438
6.37903,-0.529589
6.40476,-0.538763
6.43902,-0.538638
6.48184,-0.531164
6.52893,-0.536358
6.57175,-0.536201
6.58891,-0.53809
6.65743,-0.537839
6.68309,-0.538476
6.7174,-0.544937
6.74733,-0.538241
6.78592,-0.544686
6.91868,-0.5442
6.94438,-0.544106
6.96579,-0.544028
6.98717,-0.534681
6.99574,-0.531967
4.72562,-0.266856
4.7513,-0.252128
4.77692,-0.193498
4.78975,-0.178817
4.81113,-0.156787
4.82396,-0.142106
4.83677,-0.112791
4.8539,-0.105411
4.85389,-0.0980937
4.90095,-0.061336
4.91378,-0.0466548
4.93945,-0.0246096
4.98654,-0.0098031
5.00373,-0.0609599
5.0252,-0.104784
5.03808,-0.134005
5.0467,-0.170559
5.11138,-0.521544
5.07258,-0.316807
5.07263,-0.360709
5.07695,-0.389962
5.09414,-0.441119
5.10705,-0.484974
5.12428,-0.565399
5.14577,-0.623857
5.14581,-0.660443
5.1587,-0.689664
5.17589,-0.740821
5.20592,-0.784614
5.24875,-0.784457
5.27873,-0.784347
5.32586,-0.798809
5.38579,-0.776639
5.42436,-0.798449
5.46716,-0.783658
5.50574,-0.805468
5.54428,-0.805327
5.57426,-0.805218
5.59995,-0.805124
5.61707,-0.790427
5.65135,-0.812253
5.67702,-0.790207
5.72416,-0.811986
5.77131,-0.801082
5.89973,-0.79671
5.92544,-0.81125
6.60217,-0.867311
6.04533,-0.78886
6.10101,-0.795973
6.14384,-0.795817
6.26805,-0.802679
6.30232,-0.817188
6.35799,-0.809667
6.43079,-0.809401
6.52073,-0.809072
6.55925,-0.78698
6.61066,-0.801426
6.64063,-0.801316
6.69203,-0.801128
6.73059,-0.815621
6.8462,-0.800564
6.88904,-0.807724
6.91,-0.8065
6.95,-0.809
7,-0.80256
4.69582,-0.413308
4.73012,-0.442451
4.76444,-0.486228
4.79445,-0.515386
4.81159,-0.522641
4.82878,-0.56648
4.90604,-0.705223
4.89317,-0.690636
4.9275,-0.74173
4.95751,-0.770888
4.98754,-0.807364
5.03893,-0.807176
5.06892,-0.814383
5.1032,-0.828892
5.15458,-0.821387
5.2231,-0.821136
5.29164,-0.83552
5.34304,-0.842649
5.35588,-0.835285
5.40299,-0.835113
5.44582,-0.834956
5.45866,-0.834909
5.49294,-0.849418
5.51434,-0.834705
5.55288,-0.834564
5.57003,-0.849136
5.6257,-0.848932
5.71993,-0.855904
5.85696,-0.840769
5.8955,-0.840628
5.9255,-0.855152
5.97687,-0.84033
6.00257,-0.840236
6.03685,-0.854745
6.06254,-0.854651
6.0968,-0.854526
6.15248,-0.854322
6.19961,-0.868784
6.23815,-0.868643
6.29809,-0.853789
6.33236,-0.860981
6.37946,-0.853491
6.418,-0.85335
6.43942,-0.860589
6.48651,-0.845783
6.52937,-0.867577
6.63216,-0.874518
6.68782,-0.85968
6.72638,-0.874174
6.76921,-0.874017
6.79061,-0.866621
6.82059,-0.866512
6.87199,-0.873641
6.89768,-0.873547
6.95333,-0.851392
6.97476,-0.865948
6.98333,-0.865916
7.00901,-0.858505
