"R (W)(T (K)), created by Plot Digitizer, 2.6.8",
227.869,1.35552
230.211,1.35552
232.553,1.37987
234.895,1.38799
236.768,1.3961
237.705,1.41234
241.452,1.42045
242.389,1.43669
245.667,1.46104
247.541,1.48539
250.82,1.50162
252.693,1.52597
255.035,1.55844
257.845,1.56656
260.187,1.59091
262.998,1.60714
263.934,1.63149
267.681,1.65584
269.555,1.68019
271.897,1.69643
273.77,1.70455
276.112,1.72078
277.986,1.73701
280.328,1.76136
281.733,1.7776
284.075,1.7776
285.948,1.79383
288.29,1.79383
290.164,1.80195
292.974,1.80195
296.721,1.79383
298.126,1.80195
99.0632,0
236.768,0
239.578,0
240.047,0.0405844
240.047,0.0649351
240.047,0.0974026
240.047,0.12987
240.047,0.211039
240.047,0.332792
240.047,0.438312
240.047,0.584416
240.515,0.827922
240.515,1.07955
240.515,1.25
240.515,1.33929
240.515,1.40422
240.047,1.45292
240.515,1.50974
240.984,1.58279
240.984,1.64773
240.515,1.78571
240.515,1.8263
240.984,1.88312
240.984,1.9237
243.326,1.93182
245.667,1.94805
248.009,1.96429
250.82,1.9724
254.098,1.98864
257.845,1.99675
261.592,2.00487
264.403,2.00487
267.681,2.00487
269.087,1.99675
272.834,2.01299
275.644,2.00487
278.454,2.00487
281.733,1.99675
283.607,1.99675
286.417,1.98864
285.948,1.96429
99.0632,0
252.693,0
253.63,0
254.567,0.0243506
254.567,0.0730519
254.567,0.121753
254.567,0.154221
254.567,0.219156
254.567,0.316558
254.567,0.381494
255.035,0.535714
255.035,0.608766
254.567,0.673701
255.504,0.706169
255.504,0.75487
255.035,0.795455
255.035,0.876623
255.035,0.957792
255.035,1.02273
255.035,1.07955
255.035,1.17695
255.504,1.23377
255.035,1.31494
255.035,1.37987
255.504,1.44481
255.504,1.49351
255.504,1.54221
256.44,1.57468
255.972,1.66396
255.972,1.76136
256.909,1.80195
257.845,1.79383
260.656,1.81818
264.871,1.8263
266.276,1.83442
269.555,1.84253
272.365,1.85065
277.986,1.875
282.67,1.89123
284.543,1.88312
288.29,1.89935
289.696,1.89123
98.5948,0
262.529,0
266.276,0
270.492,0
272.365,0
273.77,0.0243506
274.707,0.0487013
275.644,0.121753
275.644,0.170455
275.644,0.186688
275.644,0.251623
275.644,0.292208
276.112,0.373377
276.112,0.462662
275.644,0.584416
275.644,0.681818
275.644,0.771104
275.644,0.852273
275.644,0.941558
275.644,0.998377
275.644,1.03896
276.112,1.1039
275.644,1.19318
275.644,1.23377
275.644,1.27435
275.644,1.33117
275.644,1.37987
275.644,1.42857
275.644,1.46916
275.644,1.52597
275.644,1.59091
275.644,1.62338
276.112,1.67208
276.112,1.69643
277.049,1.72078
279.859,1.75325
282.201,1.76136
284.543,1.76948
286.885,1.78571
289.227,1.81006
292.974,1.83442
296.253,1.8263
100.468,0
102.342,0
109.836,0
118.735,0
128.571,0
136.066,0
142.623,0
147.775,0
153.396,0
158.08,0
166.511,0
170.258,0
174.005,0
177.283,0
181.967,0
185.246,0
189.461,0
191.803,0
194.614,0
198.829,0
203.513,0
206.792,0
211.475,0
216.159,0
222.717,0
229.274,0
237.705,0
244.262,0
247.073,0
252.225,0
257.377,0
261.124,0
267.213,0
270.023,0
273.77,0
277.049,0
279.391,0
287.354,0.0243506
287.354,0.0730519
287.354,0.113636
286.885,0.194805
287.354,0.292208
287.354,0.324675
287.354,0.357143
287.354,0.422078
287.354,0.487013
287.354,0.560065
287.354,0.689935
287.354,0.779221
287.354,0.88474
287.612,1.03084
287.822,1.16883
287.354,1.31494
287.822,1.42045
287.354,1.53409
287.354,1.58279
287.822,1.62338
289.227,1.66396
291.569,1.68831
293.911,1.71266
295.316,1.73701
297.19,1.75325
297.658,1.7776
299.063,1.7776
