"Resistance [W](Temperature [K]), created by Plot Digitizer, 2.6.8",
1.81383,36.8966
1.87234,36.8966
1.95213,36.8966
1.99468,36.9828
2.09043,36.9828
2.14894,37.069
2.19149,36.9828
2.29787,36.8966
2.39362,36.8966
2.44149,36.8966
2.55319,36.8966
2.6383,36.8966
2.69681,36.8103
2.80319,36.8103
2.85106,36.8966
2.91489,36.7241
2.94681,36.9828
0.478723,36.6379
0.494681,36.4655
0.5,36.6379
0.505319,37.069
0.526596,37.2414
0.553191,37.3276
0.569149,37.2414
0.601064,37.1552
0.62766,37.069
0.648936,37.4138
0.680851,37.5862
0.734043,37.6724
0.776596,37.931
0.829787,38.0172
0.87234,38.1034
0.904255,38.1034
0.968085,38.1897
1.06915,38.4483
1.12234,38.5345
1.15957,38.5345
1.31383,38.5345
1.25,38.6207
1.40426,38.8793
1.46809,38.8793
1.51064,38.9655
1.54787,38.9655
1.81383,39.0517
1.6117,39.3103
1.65957,39.0517
1.68085,38.8793
1.72872,39.2241
1.7766,38.8793
1.8617,39.0517
1.90957,38.9655
2.68617,39.0517
2.03723,39.0517
2.07979,39.4828
2.15426,39.3103
2.17021,39.1379
2.24468,39.0517
2.25532,38.9655
2.33511,38.9655
2.37766,39.1379
2.43617,38.9655
2.48404,39.1379
2.53191,39.0517
2.57447,38.9655
2.6117,38.9655
2.75532,39.0517
2.8883,39.2241
2.81915,39.2241
2.95213,39.1379
2.9734,39.1379
