"LD (%)(Distance), created by Plot Digitizer, 2.6.8",
1574.5,-0.0807512
1605.22,-0.0723005
1624.42,-0.0610329
1651.31,-0.0525822
1655.15,-0.0413146
1685.87,-0.028169
1708.91,-0.0122066
1735.79,0.0131455
1754.99,0.028169
1762.67,0.0384977
1789.55,0.0507042
1820.28,0.0647887
1851,0.0723005
1893.24,0.0760563
1927.8,0.0704225
1985.41,0.0610329
2004.61,0.0516432
2027.65,0.0422535
2043.01,0.0356808
2050.69,0.0244131
2062.21,0.00938967
2096.77,0.00187793
2135.18,-0.00657277
2165.9,-0.0150235
2208.14,-0.0234742
2223.5,-0.000938967
2300.31,-0.00469484
2319.51,-0.00938967
2338.71,-0.00751174
2354.07,-0.0028169
2446.24,-0.00469484
2473.12,-0.0028169
,
91.3K,87
3.84025,0.000938967
53.7634,0.00187793
96.0061,0.00375587
126.728,0.00657277
168.971,0.0112676
199.693,0.0112676
234.255,0.0122066
268.817,0.0140845
291.859,0.0112676
311.06,0.00469484
322.581,-0.0028169
326.421,-0.0103286
360.983,-0.0084507
376.344,-0.00375587
426.267,-0.00187793
437.788,0.00375587
487.711,0.0056338
556.836,0.00469484
602.919,0.0028169
622.12,0.00657277
637.481,0.00657277
660.522,0.000938967
691.244,-0.00657277
706.605,-0.0131455
721.966,-0.0159624
741.167,-0.0187793
779.57,-0.0150235
802.611,-0.00938967
841.014,-0.00938967
864.055,-0.00187793
871.736,0.000938967
910.138,0.000938967
948.541,0.000938967
967.742,0.0028169
986.943,0.00375587
1017.67,0.000938967
1067.59,0.000938967
1094.47,0.00187793
1117.51,0.00751174
1136.71,0.0056338
1175.12,0.00375587
1213.52,0.00187793
1248.08,0.00187793
1267.28,-0.00375587
1286.48,-0.0103286
1317.2,-0.0234742
1340.25,-0.0178404
1359.45,-0.0103286
1370.97,-0.000938967
1370.97,0.0056338
1386.33,0.0131455
1417.05,0.0187793
1443.93,0.0234742
1474.65,0.0215962
1501.54,0.0169014
1524.58,0.00751174
1539.94,-0.0028169
1570.66,-0.0150235
1593.7,-0.028169
1609.06,-0.0309859
1647.47,-0.0253521
1666.67,-0.0206573
1716.59,-0.0244131
1824.12,-0.0131455
1843.32,-0.0056338
1870.2,2.78E-17
1904.76,0.0084507
1935.48,0.0112676
1981.57,0.0131455
2008.45,0.0159624
2039.17,0.0159624
2081.41,0.0169014
2131.34,0.0187793
2169.74,0.0244131
2208.14,0.0215962
2227.34,0.0159624
2242.7,0.0084507
2261.9,0.0028169
2284.95,-0.0028169
2327.19,-0.0028169
2350.23,-0.00187793
2365.59,0.00751174
2384.79,0.0122066
2423.2,0.0131455
2442.4,0.00938967
2457.76,0.00469484
2484.64,0.000938967
,
92.5K,95
23.0415,0.00469484
46.083,0.00657277
88.3257,2.78E-17
122.888,-0.0084507
180.492,-0.0122066
195.853,-0.00751174
222.734,-0.00469484
268.817,-0.00375587
299.539,-0.00375587
330.261,-0.0028169
360.983,0.0131455
372.504,0.0206573
384.025,0.0244131
430.108,0.0253521
495.392,0.0187793
506.912,0.0084507
541.475,0.00657277
579.877,0.0056338
587.558,0.00938967
595.238,0.0159624
606.759,0.0234742
625.96,0.0253521
656.682,0.0262911
683.564,0.02723
698.925,0.0338028
725.806,0.0338028
741.167,0.0347418
768.049,0.0262911
775.73,0.0206573
798.771,0.0159624
806.452,0.00751174
833.333,-0.00187793
860.215,-0.000938967
875.576,0.0103286
887.097,0.0150235
902.458,0.0215962
933.18,0.0244131
963.902,0.0300469
994.624,0.0300469
1021.51,0.02723
1033.03,0.0225352
1052.23,0.0187793
1067.59,0.0131455
1086.79,0.0084507
1102.15,0.000938967
1129.03,-0.0056338
1136.71,-0.0112676
1144.39,-0.0150235
1159.75,-0.0197183
1178.96,-0.0253521
1221.2,-0.0140845
1225.04,-0.00938967
1240.4,-0.00375587
1263.44,0.00187793
1274.96,0.0056338
1290.32,0.0131455
1294.16,0.0178404
1324.88,0.0244131
1347.93,0.0225352
1363.29,0.0187793
1386.33,0.0159624
1390.17,0.0131455
1436.25,0.0131455
1440.09,0.0197183
1459.29,0.0206573
1486.18,0.0159624
1513.06,0.0131455
1536.1,0.00375587
1547.62,-0.00187793
1578.34,-0.0112676
1612.9,-0.0187793
1643.63,-0.0131455
1658.99,-0.00751174
1705.07,-0.00657277
1735.79,-0.00751174
1778.03,-0.00751174
1801.08,-0.0084507
1862.52,-0.00657277
1912.44,-0.0084507
1947,-0.00375587
2004.61,-0.0028169
2031.49,-0.0028169
2066.05,-0.00469484
2089.09,-0.00657277
2100.61,-0.0103286
2142.86,-0.00938967
2181.26,-0.00375587
2204.3,0.00751174
2208.14,0.0150235
2258.06,0.0206573
2296.47,0.02723
2361.75,0.0253521
2380.95,0.0225352
2427.04,0.0197183
2469.28,0.0244131
