"MFMMS signal (arb. units)(Temperature (K)), created by Plot Digitizer, 2.6.8",
5.80112,-1.09609
5.80669,-0.989324
5.83457,-1.01068
5.86803,-1.01068
5.86803,-1.13879
5.86803,-1.2669
5.89033,-1.35231
5.90706,-1.37367
5.94052,-1.45907
5.95725,-1.54448
5.99628,-1.54448
6.04089,-1.58719
6.13011,-1.58719
6.24164,-1.58719
6.36431,-1.56584
6.45911,-1.56584
6.5539,-1.58719
6.62639,-1.58719
6.70446,-1.58719
6.76022,-1.58719
6.82156,-1.58719
6.85502,-1.56584
6.94424,-1.54448
6.98327,-1.54448
4.32342,-2.1637
4.35688,-2.14235
4.39591,-2.14235
4.4461,-2.121
4.50743,-2.09964
4.52974,-2.03559
4.54647,-1.97153
4.5632,-1.97153
4.56877,-1.92883
4.56877,-1.80071
4.5855,-1.75801
4.60781,-1.6726
4.61338,-1.60854
4.63011,-1.48043
4.65799,-1.54448
4.69145,-1.18149
4.70818,-1.24555
4.71933,-1.35231
4.74164,-1.56584
4.75836,-1.80071
4.77509,-1.88612
4.79182,-2.01423
4.80297,-2.1637
4.8197,-2.18505
4.85316,-2.27046
4.90335,-2.27046
4.94796,-2.27046
5.00929,-2.24911
5.05948,-2.20641
5.10967,-2.20641
5.1487,-2.14235
5.21561,-2.1637
5.25465,-2.121
5.28253,-2.14235
5.33271,-2.14235
5.3829,-2.09964
5.44981,-2.09964
5.49442,-2.05694
5.56134,-2.07829
5.60037,-2.14235
5.64498,-2.1637
5.67286,-2.14235
5.67286,-2.03559
5.75093,-1.95018
5.77323,-1.92883
5.78439,-2.07829
5.78439,-2.1637
5.79554,-2.29182
5.81784,-2.35587
5.86245,-2.37722
5.90149,-2.44128
5.97398,-2.44128
6.05762,-2.44128
6.15799,-2.44128
6.29182,-2.46263
6.40892,-2.41993
6.52045,-2.46263
6.60967,-2.44128
6.68216,-2.44128
6.73234,-2.44128
6.7881,-2.44128
6.84944,-2.44128
6.92751,-2.44128
7,-2.44128
4.25651,-4.17082
4.28996,-4.10676
4.329,-4.10676
4.36803,-4.0427
4.42379,-4.06406
4.48513,-3.9573
4.50186,-3.93594
4.51859,-3.82918
4.55762,-3.97865
4.57435,-4.08541
4.61338,-4.12811
4.66357,-4.23488
4.72491,-4.27758
4.78067,-4.32028
4.84201,-4.27758
4.90892,-4.32028
5.01487,-4.21352
5.08178,-4.23488
5.15427,-4.21352
5.23234,-4.21352
5.30483,-4.19217
5.35502,-4.23488
5.42193,-4.21352
5.48327,-4.19217
5.53346,-4.19217
5.58922,-4.19217
5.6171,-4.14947
5.64498,-4.19217
5.66729,-4.27758
5.67844,-4.36299
5.71747,-4.46975
5.77881,-4.46975
5.84015,-4.46975
5.89591,-4.4911
6.00186,-4.46975
6.07435,-4.46975
6.15799,-4.46975
6.20818,-4.46975
6.30855,-4.46975
6.36431,-4.46975
6.44238,-4.46975
6.52602,-4.46975
6.57063,-4.42705
6.63755,-4.4911
6.72677,-4.46975
6.7881,-4.46975
6.84387,-4.46975
6.91636,-4.4484
6.99442,-4.4484
4.30669,-4.4911
4.35688,-4.4911
4.40149,-4.4911
4.47398,-4.55516
4.51301,-4.53381
4.5632,-4.53381
4.63569,-4.53381
4.69703,-4.57651
4.76952,-4.55516
4.83643,-4.4911
4.89777,-4.51246
4.97584,-4.53381
5.00929,-4.51246
5.08178,-4.53381
5.15985,-4.55516
5.19331,-4.51246
5.32156,-4.51246
5.36617,-4.4911
5.43309,-4.46975
5.46097,-4.55516
5.52231,-4.66192
5.58364,-4.64057
5.64498,-4.70463
5.72305,-4.68327
5.80669,-4.68327
5.85688,-4.66192
5.91822,-4.66192
5.96283,-4.66192
6.04647,-4.68327
6.12454,-4.66192
6.2026,-4.68327
6.26394,-4.66192
6.32528,-4.66192
6.44238,-4.66192
6.50929,-4.61922
6.54833,-4.66192
6.62639,-4.70463
6.71004,-4.66192
6.77138,-4.66192
6.81041,-4.64057
6.84944,-4.64057
6.91078,-4.64057
6.96097,-4.66192
6.99442,-4.64057
