"r (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
6.7343,2.6226
6.80193,2.69296
6.80193,2.71215
7.1401,2.75053
7.343,2.76972
7.74879,2.78252
8.22222,2.77612
8.49275,2.78891
9.10145,2.75053
9.64251,2.76972
9.71014,2.78252
10.3865,2.78252
10.7923,2.74414
11.401,2.74414
11.3333,2.80171
11.942,2.75053
12.0097,2.8145
12.8213,2.75693
13.0918,2.76972
13.5652,2.80171
14.1739,2.73134
14.2415,2.74414
14.6473,2.76972
15.1208,2.78891
15.6618,2.79531
15.8647,2.80171
16.0676,2.78252
16.8116,2.77612
17.0821,2.78891
17.6232,2.78891
17.8261,2.78252
18.2995,2.78891
18.8406,2.79531
19.1787,2.80171
21.6135,2.8145
19.7874,2.78252
20.058,2.76972
20.3285,2.8081
20.9372,2.8145
21.2754,2.82729
22.6957,2.8209
23.1014,2.8209
23.3043,2.8209
23.6425,2.82729
23.9807,2.84648
24.4541,2.85288
24.657,2.84009
25.1304,2.85928
25.4686,2.87207
25.6715,2.86567
25.8744,2.84009
26.1449,2.85928
26.3478,2.88486
26.8889,2.88486
27.2947,2.89126
27.6329,2.89126
28.0386,2.92324
28.6473,2.90405
29.1208,2.92964
29.4589,2.93603
29.8647,2.95522
2.74396,0
3.42029,0
4.90821,0
5.78744,0
6.19324,0
6.19324,0
6.19324,0.153518
6.3285,0.24307
6.3285,0.358209
6.39614,0.52452
6.5314,0.767591
6.46377,0.921109
6.59903,1.19616
6.7343,1.59275
6.7343,1.96375
6.7343,2.20682
6.9372,2.57143
6.80193,2.6226
7.00483,2.66098
7.20773,2.66738
7.61353,2.69296
7.74879,2.70576
8.28986,2.70576
8.42512,2.71215
8.69565,2.70576
9.10145,2.70576
9.43961,2.71855
9.64251,2.70576
9.91304,2.69296
9.98068,2.69936
10.3188,2.69936
10.4541,2.71215
11.0628,2.71215
11.2657,2.70576
11.4686,2.69936
11.942,2.69936
12.0773,2.71215
12.1449,2.69936
12.4155,2.67377
12.7536,2.69936
12.9565,2.70576
13.0242,2.71215
13.7681,2.71855
14.1063,2.68017
14.4444,2.68657
19.3816,2.74414
15.0531,2.69296
15.3913,2.70576
16.0676,2.71215
16.6087,2.69936
16.9469,2.71215
17.1498,2.72495
17.4879,2.72495
17.5556,2.71855
18.0966,2.71215
18.2995,2.71855
18.5024,2.71855
18.7729,2.72495
19.0435,2.74414
19.7874,2.71855
20.3285,2.74414
20.8019,2.74414
21.2754,2.74414
22.1546,2.76333
22.5604,2.78252
22.8309,2.78252
23.2367,2.78252
23.3043,2.76972
23.6425,2.77612
23.9807,2.78252
24.1836,2.78891
24.9952,2.80171
25.2657,2.80171
25.6715,2.8081
26.2802,2.8209
26.8213,2.82729
27.0242,2.83369
27.2947,2.84009
27.7681,2.84648
28.1063,2.85928
28.5121,2.85288
28.715,2.85288
29.0531,2.88486
29.3237,2.88486
29.5266,2.89126
29.8647,2.90405
2.26988,0
3.75422,0
5.71084,0
6.11566,0
6.38554,0.153846
6.45301,0.384615
6.52048,0.564103
6.65542,0.826923
6.72289,1.19231
6.85783,1.46154
6.79036,1.59615
6.9253,1.70513
6.85783,1.91026
6.9253,2.07692
6.9253,2.20513
6.99277,2.37821
7.06024,1.89744
7.19518,2.60897
7.39759,2.57692
7.6,2.62179
7.73494,2.62821
7.93735,2.62821
8.20723,2.60897
8.54458,2.62821
9.08434,2.60897
9.28675,2.63462
9.75904,2.63462
10.0289,2.64744
10.1639,2.64103
10.3663,2.58333
10.5687,2.64103
11.041,2.64103
11.3108,2.63462
11.3783,2.60897
11.7157,2.63462
12.053,2.63462
12.053,2.60897
12.4578,2.62179
12.6602,2.62179
12.8627,2.63462
13.4024,2.60256
13.7398,2.61538
14.347,2.62821
14.6843,2.62821
15.0892,2.62821
15.5614,2.62821
15.9663,2.62821
16.506,2.62821
17.0458,2.64103
17.3831,2.64103
17.8554,2.65385
18.0578,2.65385
18.3277,2.64103
18.9349,2.66026
19.2048,2.66026
19.4072,2.64744
19.6771,2.66667
20.2843,2.64744
20.5542,2.67308
21.094,2.6859
21.4988,2.6859
21.8361,2.66667
22.106,2.67949
22.4434,2.71154
22.7807,2.69872
23.1855,2.69872
23.4554,2.70513
23.7253,2.72436
24.3325,2.71154
24.5349,2.73718
24.8723,2.73718
25.0072,2.75
25.3446,2.75
25.8169,2.74359
26.0867,2.75
26.3566,2.75641
26.6265,2.77564
26.8964,2.78846
27.2337,2.78205
27.7735,2.78846
28.0434,2.80128
28.5831,2.8141
29.0554,2.82692
29.3253,2.83974
29.6627,2.84615
29.9325,2.84615
3.01205,0
5.17108,0
5.84578,0
6.38554,0
6.45301,0.153846
6.52048,0.25
6.52048,0.423077
6.65542,0.762821
6.79036,0.955128
6.9253,1.14744
6.99277,1.37821
7.06024,1.60897
7.12771,2.02564
7.19518,2.19231
7.12771,2.25
7.39759,2.32051
7.33012,2.38462
7.39759,2.4359
7.66747,2.39103
7.66747,2.41667
7.86988,2.42308
8.07229,2.4359
8.13976,2.45513
8.2747,2.46795
8.20723,2.48718
8.33976,2.48718
8.47711,2.41667
8.88193,2.44231
9.01687,2.47436
9.21928,2.51282
9.55663,2.49359
9.55663,2.40385
9.82651,2.45513
10.2313,2.45513
10.1639,2.39744
10.5012,2.4359
10.7711,2.46795
11.1759,2.49359
11.041,2.51282
11.1759,2.42308
11.4458,2.44872
11.7157,2.48077
12.053,2.48077
12.053,2.4359
12.2554,2.44872
12.5253,2.47436
12.7952,2.46154
13.0651,2.48718
13.3349,2.44872
13.6723,2.47436
14.0096,2.44231
14.1446,2.48077
14.212,2.49359
15.2241,2.46795
15.8313,2.46795
16.2361,2.46795
16.8434,2.48718
17.3831,2.49359
17.8554,2.49359
18.0578,2.48718
18.3277,2.48718
18.4627,2.5
18.7325,2.51923
19.2723,2.50641
19.8795,2.49359
20.1494,2.50641
20.6217,2.51923
21.3639,2.52564
22.0386,2.53846
22.6458,2.55128
23.388,2.57051
24.0627,2.57051
24.0627,2.58974
24.3325,2.58333
24.6699,2.60256
25.2096,2.60256
25.547,2.62821
25.8843,2.62821
26.0867,2.64744
26.8289,2.64744
27.0313,2.65385
27.5711,2.67308
27.841,2.67308
28.2458,2.6859
28.5831,2.69231
28.7855,2.70513
29.3928,2.71795
29.5952,2.72436
29.8651,2.73718
29.9325,2.71795
2.60723,0
4.15904,0
5.50843,0
6.58795,0
6.65542,0.0512821
6.85783,0.0897436
6.72289,0.307692
6.9253,0.448718
6.99277,0.641026
7.12771,0.775641
6.99277,0.884615
7.19518,1.00641
7.12771,1.19231
7.26265,1.25641
7.33012,1.40385
7.39759,1.57692
7.53253,1.78846
7.39759,2.0641
7.53253,2.10897
7.39759,2.13462
7.6,2.21795
7.66747,2.23718
7.93735,2.25641
7.93735,2.28205
8.07229,2.30128
8.34217,2.25641
8.47711,2.26282
8.74699,2.29487
8.88193,2.25641
9.01687,2.28205
9.42169,2.30128
9.42169,2.32051
9.89398,2.30128
9.75904,2.25641
13.8072,2.3141
10.4337,2.30128
10.8386,2.26923
11.1759,2.30128
11.3783,2.28846
11.7831,2.28846
11.9855,2.27564
12.7277,2.28846
12.5928,2.3141
13.1325,2.3141
13.5373,2.30769
13.7398,2.32051
14.347,2.30128
14.8867,2.30128
15.0217,2.32051
15.359,2.30769
15.5614,2.32051
16.0337,2.33333
16.5735,2.33333
16.8434,2.33974
16.3036,2.29487
17.2482,2.32692
17.5855,2.32692
18.1253,2.34615
18.3952,2.33974
18.6651,2.33974
18.8675,2.33974
19.2048,2.33974
19.4072,2.36538
19.7446,2.33974
19.947,2.36538
20.2169,2.36538
20.6892,2.36538
21.0265,2.39103
21.3639,2.38462
21.7687,2.39103
22.4434,2.41026
22.9831,2.41026
23.6578,2.4359
24.0627,2.4359
24.6699,2.47436
25.547,2.47436
25.7494,2.50641
26.1542,2.50641
26.4241,2.51282
26.9639,2.52564
27.3012,2.52564
27.6386,2.55128
27.9759,2.55769
28.5831,2.5641
28.7855,2.58333
29.0554,2.58974
29.1904,2.60256
29.5277,2.62179
29.8651,2.61538
4.42892,0
5.64337,0
6.18313,0
6.85783,0
6.85783,0.0576923
6.9253,0.230769
7.06024,0.423077
7.26265,0.74359
7.19518,1.04487
7.33012,1.26282
7.46506,1.63462
7.6,1.89744
7.73494,2.01282
7.66747,2.0641
7.73494,2.09615
7.73494,2.12179
7.73494,2.16026
7.73494,2.1859
8.07229,2.21154
8.2747,2.22436
8.20723,2.16667
8.47711,2.19872
8.47711,2.21154
8.40964,2.16667
8.40964,2.13462
8.67952,2.16667
8.9494,2.19872
9.01687,2.21795
9.55663,2.23718
9.01687,2.1859
9.6241,2.16026
9.89398,2.17308
10.0289,2.1859
10.1639,2.21154
16.506,2.26282
10.9735,2.1859
11.5807,2.19872
11.8506,2.21795
12.188,2.21154
12.3229,2.21154
12.9301,2.21154
12.9301,2.19872
13.3349,2.17949
13.6723,2.22436
13.8747,2.20513
14.0771,2.21154
14.4819,2.21154
14.4819,2.19872
15.2916,2.23077
15.5614,2.22436
15.9663,2.23718
17.3157,2.23077
17.5855,2.21154
18.0578,2.25
18.3952,2.25
19.0024,2.25
19.4072,2.26282
19.6771,2.27564
20.0145,2.28205
20.4867,2.27564
21.0265,2.27564
21.4988,2.28205
21.9036,2.30769
22.7133,2.33333
25.0072,2.37821
23.3205,2.35256
23.5904,2.35897
23.9952,2.33974
24.1976,2.36538
24.6699,2.40385
25.3446,2.38462
25.6819,2.39744
26.2217,2.42949
26.6265,2.44231
26.8289,2.44872
27.2337,2.46795
27.2337,2.46795
27.5036,2.46795
27.841,2.46795
28.3807,2.5
28.7181,2.5
29.3253,2.51923
29.5952,2.54487
29.8651,2.5641
3.61928,0
4.9012,0
5.84578,0
6.9253,0
7.12771,0
7.19518,0.00641026
7.33012,0.185897
7.33012,0.403846
7.33012,0.544872
7.33012,0.596154
7.46506,0.782051
7.46506,1.10256
7.66747,1.24359
7.66747,1.39103
7.73494,1.50641
7.66747,1.60256
7.86988,1.75641
8.00482,1.92308
8.20723,1.98077
8.34217,2
8.61205,2.00641
8.61205,1.97436
8.88193,2
9.08434,2.02564
9.08434,1.98718
9.35422,2.00641
9.69157,2.01923
9.69157,2
10.1639,2.01923
10.2988,1.97436
10.7711,2.01282
10.9735,2.02564
11.3108,2.03846
12.053,2.01282
12.5928,2.01923
12.9301,2.02564
13.3349,2.03205
14.1446,2.04487
14.4819,2.03846
14.8193,2.03846
14.9542,2.05769
14.9542,2.03205
15.1566,2.05769
15.2916,2.02564
15.6964,2.03205
15.6964,2.05128
16.0337,2.05769
16.5735,2.05128
16.7759,2.07051
17.3157,2.05769
17.653,2.10256
17.9229,2.08974
18.8675,2.07051
19.0699,2.10256
19.4072,2.10897
19.947,2.12179
20.6892,2.12821
21.1614,2.14744
21.5663,2.16667
22.3084,2.17308
22.9157,2.19231
23.3205,2.21795
23.8602,2.23077
24.6024,2.24359
25.412,2.26923
26.2892,2.29487
26.6265,2.32692
27.1663,2.32692
27.7735,2.35256
28.2458,2.36538
28.5831,2.38462
28.988,2.40385
29.3253,2.41667
29.5952,2.4359
30,2.45513
3.68675,0
5.03614,0
6.2506,0
6.9253,0
7.19518,0
7.26265,0.153846
7.39759,0.217949
7.53253,0.673077
7.53253,0.814103
7.66747,0.942308
7.66747,1.07692
7.73494,1.13462
7.80241,1.1859
7.80241,1.23718
7.80241,1.30769
7.80241,1.37179
7.86988,1.45513
7.86988,1.51923
7.93735,1.59615
8.07229,1.69872
8.2747,1.75
8.2747,1.78846
8.34217,1.83333
8.61205,1.82051
8.74699,1.83974
8.74699,1.89103
8.9494,1.89103
9.28675,1.89103
9.6241,1.90385
10.1639,1.90385
10.3663,1.89744
10.5687,1.89744
11.1084,1.89103
11.9855,1.89744
12.5253,1.90385
13.0651,1.90385
13.4699,1.92308
13.8747,1.91667
14.7518,1.92949
14.8193,1.91667
15.0217,1.92949
15.359,1.94872
15.7639,1.94872
16.2361,1.94872
16.3036,1.92949
16.9108,1.9359
17.3157,1.96795
17.5855,1.97436
17.9229,1.97436
18.7325,1.99359
19.1374,1.99359
19.6096,2.01282
20.0819,2.01923
20.6892,2.03846
20.6892,2.04487
21.1614,2.0641
21.4988,2.05769
21.9711,2.0641
22.1735,2.08333
22.9157,2.10256
23.5904,2.12821
23.8602,2.12821
24.1301,2.14744
24.9398,2.17308
25.547,2.1859
25.8843,2.20513
26.6265,2.21795
26.8964,2.25
27.4361,2.25641
28.0434,2.27564
28.7181,2.30769
29.0554,2.32692
29.2578,2.33974
29.3928,2.35897
29.7301,2.37179
2.60723,0
3.41687,0.00E+00
4.29398,0.00E+00
5.37349,0.00E+00
6.45301,0.00E+00
7.33012,0.00E+00
7.39759,0.179104
7.46506,0.447761
7.53253,0.614073
7.6,0.818763
7.73494,1.01706
7.80241,1.11301
7.93735,1.21535
8.07229,1.27932
8.07229,1.42004
8.2747,1.5032
8.2747,1.57996
8.34217,1.61834
8.34217,1.65672
9.15181,1.81663
8.54458,1.70149
8.67952,1.70789
8.74699,1.72708
8.81446,1.75906
9.01687,1.77825
9.28675,1.79744
9.48916,1.75906
9.82651,1.79744
10.3663,1.76546
10.7711,1.85501
10.7711,1.76546
10.906,1.77185
11.2434,1.77185
11.5133,1.79104
11.9181,1.77825
12.1205,1.79104
12.4578,1.77825
12.7277,1.79104
12.7952,1.80384
13.0651,1.80384
13.4024,1.79744
13.6048,1.79744
13.7398,1.76546
13.9422,1.81663
14.0096,1.78465
14.2795,1.80384
14.2795,1.82303
14.6843,1.81663
14.8867,1.81663
15.0217,1.82303
15.494,1.81023
15.8313,1.79744
16.0337,1.82942
16.5735,1.82942
17.0458,1.85501
17.3157,1.84222
17.5855,1.84222
17.9229,1.91258
18.4627,1.86141
18.9349,1.88699
19.4072,1.8806
19.6771,1.90618
20.1494,1.90618
20.5542,1.91898
20.7566,1.93177
21.2289,1.94456
21.7012,1.95096
22.0386,1.95736
22.4434,1.98294
22.8482,1.99574
23.3205,1.98934
23.4554,2.00853
23.6578,2.01493
23.8602,2.04691
26.4241,2.11727
24.6699,2.04051
25.0072,2.0533
25.0747,2.07249
25.2096,2.07249
25.7494,2.07249
25.7494,2.07889
26.4241,2.10448
26.9639,2.13646
27.2337,2.14925
27.3687,2.16205
27.5036,2.16205
27.7735,2.18124
27.9084,2.16205
28.1108,2.18763
28.2458,2.19403
28.5831,2.21322
28.7181,2.22601
29.0554,2.2452
29.2578,2.2452
29.3253,2.2516
29.4602,2.26439
29.8651,2.26439
3.55181,0
4.6988,0
5.98072,0.00E+00
6.72289,0.00E+00
7.46506,0
7.53253,0.0447761
7.53253,0.140725
7.53253,0.198294
7.6,0.498934
7.66747,0.626866
7.66747,0.722815
7.80241,0.857143
7.93735,0.933902
8.07229,1.01706
8.20723,1.08742
8.2747,1.16418
8.34217,1.26652
8.40964,1.35608
8.47711,1.46482
8.61205,1.50959
8.61205,1.52878
8.67952,1.56077
8.74699,1.59915
8.81446,1.61834
8.9494,1.63113
9.15181,1.64392
9.15181,1.65672
9.6241,1.67591
9.75904,1.6951
9.82651,1.67591
9.89398,1.65032
10.1639,1.66311
10.3663,1.67591
10.7711,1.67591
10.9735,1.6823
11.3108,1.65672
11.5133,1.6823
11.8506,1.6951
12.053,1.6823
12.4578,1.6887
12.8627,1.6951
12.9301,1.70789
13.4699,1.6823
14.0096,1.71429
14.4145,1.70149
14.4819,1.71429
15.359,1.72068
15.6964,1.73348
15.7639,1.72068
15.9663,1.73348
16.3036,1.76546
16.9108,1.77185
17.1133,1.75906
17.4506,1.76546
17.9229,1.77825
18.3277,1.77825
18.7325,1.76546
18.7325,1.79744
19.2048,1.80384
19.4747,1.81663
19.7446,1.81663
20.3518,1.82303
20.3518,1.84861
20.6217,1.82942
20.8241,1.85501
21.2964,1.85501
21.4313,1.8678
21.6337,1.8806
21.8361,1.8806
22.0386,1.88699
22.6458,1.90618
22.9831,1.90618
23.1181,1.92537
23.388,1.92537
23.6578,1.93817
23.9277,1.93817
24.1301,1.96375
24.4675,1.95736
24.7373,1.97015
24.7373,1.98294
25.1422,1.98934
25.3446,2.00853
25.6819,2.00853
26.2217,2.02772
26.4241,2.04051
26.694,2.04051
26.8964,2.0661
27.1663,2.08529
27.5036,2.09168
27.7735,2.11087
27.9759,2.12367
28.2458,2.13006
28.3133,2.14286
28.6506,2.14286
28.853,2.14925
28.853,2.16205
28.988,2.17484
29.1904,2.18124
29.3928,2.19403
29.5277,2.20043
29.9325,2.21322
2.33735,0
4.0241,0
5.03614,0
5.84578,0
6.72289,0
7.12771,0
7.73494,0.0127932
7.73494,0.115139
7.73494,0.268657
7.73494,0.377399
7.80241,0.466951
7.80241,0.52452
7.93735,0.601279
8.00482,0.697228
8.00482,0.793177
8.13976,0.837953
8.2747,0.869936
8.34217,0.933902
8.34217,0.985075
8.34217,1.02985
8.61205,1.17058
8.61205,1.21535
8.61205,1.28571
8.67952,1.33049
8.74699,1.37527
8.81446,1.41365
8.9494,1.44563
9.01687,1.50959
9.08434,1.52239
9.08434,1.54797
9.35422,1.57356
9.69157,1.59275
9.69157,1.56077
10.0289,1.57356
10.2988,1.59275
10.5012,1.56077
10.906,1.57996
11.2434,1.59915
11.5133,1.57996
16.2361,1.65032
12.053,1.61194
12.6602,1.60554
13.2,1.60554
13.0651,1.61194
13.7398,1.61194
13.8747,1.61834
14.347,1.63113
14.4145,1.61834
14.8193,1.61834
15.0892,1.64392
15.4265,1.63753
15.494,1.65672
15.7639,1.65032
16.7759,1.66951
17.3831,1.6887
17.7205,1.6951
17.9904,1.6951
18.5301,1.6951
18.6651,1.71429
18.9349,1.70789
19.2723,1.72068
19.7446,1.73348
19.812,1.74627
19.947,1.75267
20.3518,1.75267
20.6892,1.77185
20.8916,1.77185
21.8361,1.79104
21.9036,1.80384
22.106,1.82303
22.3759,1.82303
22.9157,1.82942
23.1181,1.84861
23.388,1.85501
23.7928,1.8678
23.9952,1.8678
23.9952,1.89339
24.5349,1.89339
24.6699,1.91898
24.8723,1.92537
25.2771,1.94456
25.7494,1.95736
26.0193,1.97655
26.3566,1.98294
26.559,1.99574
26.9639,2.00853
27.3012,2.03412
27.5711,2.03412
27.841,2.04691
28.0434,2.0597
28.3133,2.0597
28.5157,2.07889
28.6506,2.09168
28.988,2.09808
29.1229,2.11087
29.2578,2.11727
29.4602,2.13006
29.7301,2.14925
29.7976,2.15565
3.75422,0
4.63133,0
6.04819,0
6.45301,0
7.33012,0
8.00482,0
8.07229,0.121535
8.07229,0.230277
8.20723,0.377399
8.20723,0.447761
8.20723,0.556503
8.34217,0.646055
8.47711,0.703625
8.67952,0.876333
8.61205,0.933902
8.74699,1.01066
8.88193,1.06823
8.9494,1.18337
9.08434,1.26013
9.15181,1.33049
9.21928,1.35608
9.28675,1.38166
9.28675,1.39446
9.48916,1.40725
9.48916,1.42004
9.69157,1.43923
9.82651,1.45842
9.82651,1.44563
10.1639,1.41365
10.4337,1.43284
10.5012,1.43923
10.8386,1.42644
11.1759,1.44563
11.2434,1.45842
11.7157,1.45203
12.053,1.45203
12.2554,1.45203
12.6602,1.44563
12.8627,1.45842
13.1325,1.45842
13.4024,1.48401
13.6048,1.46482
14.347,1.49041
14.0771,1.5032
14.8193,1.47761
15.2241,1.49041
15.359,1.5032
15.6289,1.52239
16.1687,1.51599
16.506,1.52878
16.9783,1.52239
17.0458,1.54158
17.3831,1.55437
17.788,1.55437
18.3952,1.56716
18.7325,1.59275
19.0699,1.59915
19.5422,1.61834
19.812,1.60554
20.0145,1.63753
20.3518,1.63753
20.6892,1.65032
21.2289,1.66951
21.5663,1.66951
21.5663,1.6887
21.9036,1.6887
22.106,1.70149
22.3084,1.70149
22.5108,1.71429
22.7133,1.73348
23.1181,1.73987
23.253,1.75267
23.5904,1.74627
23.7253,1.76546
23.9277,1.78465
24.2651,1.79744
24.8048,1.81023
25.2096,1.83582
25.547,1.84861
25.8169,1.8678
26.2892,1.89339
26.559,1.88699
26.8289,1.90618
26.8289,1.92537
26.9639,1.91898
27.2337,1.93177
27.3687,1.95096
27.5036,1.95096
27.7735,1.96375
27.9759,1.97655
28.1783,1.98934
28.4482,1.99574
28.5157,2.02772
28.6506,2.02772
28.7855,2.02772
29.1229,2.04691
29.2578,2.04691
29.5277,2.07249
29.7976,2.08529
2.6747,0
4.0241,0
5.17108,0
6.52048,0
7.53253,0
8.40964,0
8.34217,0.0383795
8.47711,0.159915
8.54458,0.332623
8.54458,0.447761
8.61205,0.498934
8.74699,0.633262
8.81446,0.710021
8.9494,0.780384
9.08434,0.818763
9.08434,0.850746
9.08434,0.914712
9.08434,0.914712
9.28675,0.978678
9.21928,1.07463
9.28675,1.16418
9.48916,1.19616
9.75904,1.26013
10.2313,1.26013
10.6361,1.26652
11.041,1.26013
11.3783,1.23454
11.7157,1.26652
12.1205,1.27932
12.1205,1.26013
12.8627,1.27292
13.0651,1.29211
13.4024,1.29211
13.6048,1.3049
14.1446,1.3049
14.4145,1.3177
14.7518,1.32409
15.2241,1.33689
18.9349,1.42004
15.8313,1.33689
15.9663,1.34328
16.3036,1.36247
16.506,1.35608
16.7084,1.36887
17.1133,1.39446
17.3831,1.36887
17.653,1.40725
17.8554,1.39446
18.1928,1.42004
18.3952,1.40725
18.5976,1.42644
19.0699,1.44563
19.8795,1.43284
19.812,1.46482
20.2169,1.48401
20.5542,1.48401
21.4988,1.52239
21.094,1.5032
22.1735,1.54158
22.241,1.56716
22.5108,1.56716
22.5783,1.57996
22.9157,1.57996
23.3205,1.59915
23.4554,1.61834
23.7253,1.62473
23.7928,1.65032
24.1976,1.65032
24.3325,1.66951
24.8723,1.67591
25.2096,1.6887
25.2771,1.70789
25.4795,1.70789
25.9518,1.72708
26.2217,1.76546
26.6265,1.77185
26.694,1.79104
26.8289,1.81023
27.0988,1.81023
27.5036,1.82942
27.6386,1.85501
27.7735,1.84222
28.0434,1.8678
28.2458,1.8678
28.2458,1.88699
28.4482,1.89339
28.5831,1.90618
28.9205,1.91898
28.988,1.92537
29.1904,1.93177
29.3928,1.93817
29.5277,1.96375
29.5952,1.97015
29.7301,1.98294
29.8651,1.98934
3.61928,0
4.6988,0
5.50843,0
6.18313,0
6.72289,0
7.33012,0
7.93735,0
8.54458,0
8.67952,0
8.81446,0
8.88193,0.0127932
8.88193,0.0767591
8.88193,0.166311
9.01687,0.294243
9.08434,0.402985
9.08434,0.54371
9.21928,0.639659
9.28675,0.761194
9.35422,0.812367
9.42169,0.863539
9.55663,0.921109
9.42169,0.972281
10.2313,1.02345
10.4337,1.01066
10.7036,1.02985
10.8386,0.997868
10.9735,0.997868
11.041,1.01706
11.3783,1.03625
11.5133,1.01706
11.7157,1.02345
12.053,1.04904
12.3904,1.03625
12.9976,1.04904
13.0651,1.07463
13.4699,1.06823
13.8072,1.06823
14.212,1.08742
14.4145,1.08742
14.8193,1.10021
14.8867,1.10021
15.494,1.09382
15.6289,1.11301
16.0337,1.1194
16.0337,1.13859
16.7759,1.13859
16.8434,1.14499
16.9783,1.15778
17.4506,1.17058
17.7205,1.18337
17.9904,1.20256
18.4627,1.19616
18.6651,1.22175
18.9349,1.22175
19.1374,1.22815
19.4747,1.24094
19.7446,1.25373
20.0819,1.26013
20.2169,1.27292
20.5542,1.27932
20.6892,1.28571
20.8241,1.29211
21.2289,1.3049
21.2964,1.3177
21.5663,1.33689
22.5108,1.37527
22.5108,1.36247
23.0506,1.40725
23.4554,1.41365
23.7928,1.43923
24.1976,1.44563
24.3325,1.46482
24.7373,1.4968
24.9398,1.50959
25.3446,1.52239
25.412,1.53518
25.8169,1.56077
26.2892,1.57356
26.3566,1.57996
26.559,1.59915
26.694,1.61194
27.2337,1.64392
27.4361,1.65032
27.5711,1.66951
27.706,1.6823
27.9084,1.6951
28.5157,1.72708
29.0554,1.74627
29.0554,1.75906
29.3253,1.79744
29.5952,1.81023
29.9325,1.82942
2.40482,0
4.49639,0.00E+00
5.91325,0
6.85783,0
7.73494,0
8.54458,0
9.08434,0
9.08434,0.0959488
9.01687,0.191898
9.08434,0.313433
9.15181,0.52452
9.15181,0.614073
9.28675,0.703625
9.28675,0.748401
9.55663,0.767591
9.6241,0.773987
9.6241,0.799574
9.69157,0.812367
9.82651,0.831556
10.0289,0.850746
10.2988,0.857143
10.9735,0.857143
11.6482,0.876333
12.188,0.882729
12.6602,0.882729
12.8627,0.901919
13.1325,0.901919
13.3349,0.914712
13.6723,0.914712
14.0771,0.908316
14.0771,0.921109
14.347,0.933902
14.6169,0.933902
15.0892,0.946695
15.5614,0.959488
15.5614,0.959488
15.8313,0.972281
16.1012,0.985075
16.7084,0.997868
16.7759,1.01066
17.0458,1.01066
17.2482,1.03625
17.653,1.02985
17.9229,1.04904
20.4867,1.14499
18.5301,1.08742
18.7325,1.08102
19.2723,1.08742
19.4747,1.11301
19.812,1.1322
20.8241,1.16418
27.2337,1.56716
21.3639,1.19616
21.7012,1.20256
21.9711,1.22175
22.3084,1.24094
22.7133,1.25373
22.8482,1.27292
22.9831,1.27932
23.1855,1.29211
23.5229,1.3049
23.8602,1.33049
24.2651,1.35608
24.6024,1.37527
24.6699,1.38806
25.0747,1.40725
25.3446,1.42644
25.6819,1.43923
25.8169,1.45842
26.1542,1.47761
26.4241,1.48401
26.8289,1.51599
27.0313,1.54797
27.5711,1.58635
27.9759,1.60554
28.6506,1.64392
29.0554,1.6887
29.6627,1.72708
29.9325,1.75267
3.21446,0
4.83373,0
5.91325,0
7.12771,0.00E+00
7.93735,0.00E+00
8.47711,0.00E+00
9.21928,0.00639659
9.21928,0.0511727
9.28675,0.102345
