data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
317	MOL2850043	Cu(CF3)4(TBE)	kappa<L>-(BEDT-TTF)2Cu(CF3)4(TBE)		BEDT-TTF							5.2			0																							randomly oriented crystal			New organic superconductors in the system (ET)2M(CF3)4(solvent)  (M=Cu,Ag,Au): Dramatic effects of organometallic anion and solvent replacement	1996			Mol.Cryst.Liq.Cryst., 285(1996)43	J.A.Schlueter,J.M.Williams,Urs Geiser,H.H.Wang,A.M.Kini,M.E.Kelly,J.D.Dudek		
318	MOL2850043	Ag(CF3)4(TBE)	kappa<L>-(BEDT-TTF)2Ag(CF3)4(TBE)		BEDT-TTF							4.8			0																							randomly oriented crystal			New organic superconductors in the system (ET)2M(CF3)4(solvent)  (M=Cu,Ag,Au): Dramatic effects of organometallic anion and solvent replacement	1996			Mol.Cryst.Liq.Cryst., 285(1996)43	J.A.Schlueter,J.M.Williams,Urs Geiser,H.H.Wang,A.M.Kini,M.E.Kelly,J.D.Dudek		
319	MOL2850043	Au(CF3)4(TBE)	kappa<L>-(BEDT-TTF)2Au(CF3)4(TBE)		BEDT-TTF							5.8			0																							randomly oriented crystal			New organic superconductors in the system (ET)2M(CF3)4(solvent)  (M=Cu,Ag,Au): Dramatic effects of organometallic anion and solvent replacement	1996			Mol.Cryst.Liq.Cryst., 285(1996)43	J.A.Schlueter,J.M.Williams,Urs Geiser,H.H.Wang,A.M.Kini,M.E.Kelly,J.D.Dudek		
320	MOL2850043	Ag(CF3)4(TBE)	kappa<L>-(d8-BEDT-TTF)2Ag(CF3)4(TBE)		BEDT-TTF							5.26			0																							Tc(mid) = 4.29 K. dTc(10-90%) = 1.47 K.			New organic superconductors in the system (ET)2M(CF3)4(solvent)  (M=Cu,Ag,Au): Dramatic effects of organometallic anion and solvent replacement	1996			Mol.Cryst.Liq.Cryst., 285(1996)43	J.A.Schlueter,J.M.Williams,Urs Geiser,H.H.Wang,A.M.Kini,M.E.Kelly,J.D.Dudek		
321	MOL2850043	Ag(CF3)4(TBE)	kappa<L>-(h8-BEDT-TTF)2Ag(CF3)4(TBE)		BEDT-TTF							4.84			0																							Tc(mid) = 3.92 K. dTc(10-90%) = 1.39 K.			New organic superconductors in the system (ET)2M(CF3)4(solvent)  (M=Cu,Ag,Au): Dramatic effects of organometallic anion and solvent replacement	1996			Mol.Cryst.Liq.Cryst., 285(1996)43	J.A.Schlueter,J.M.Williams,Urs Geiser,H.H.Wang,A.M.Kini,M.E.Kelly,J.D.Dudek		
322	MOL2840195	Ag(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF							11.1			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
323	MOL2840195	Au(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Au(CF3)4(TCE)		BEDT-TTF							10.5			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
324	MOL2840195	Cu(CF3)4(TCE)	kappa<H>-(BEDT-TTF)2Cu(CF3)4(TCE)		BEDT-TTF							9.2			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
325	MOL2840195	Ag(CF3)4(BDCE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(211BDCE)		BEDT-TTF							10.2			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
326	MOL2840195	Ag(CF3)4(BDCE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(112BDCE)		BEDT-TTF							7.3			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
327	MOL2840195	Ag(CF3)4(TBE)	kappa<H>-(BEDT-TTF)2Ag(CF3)4(TCE)		BEDT-TTF							7.2			0																							kappa<H> phase is needle-like crystal. Tc determined by ac-SUS.			Synthesis and physical properties of a novel, highly tunable family of organic superconductors: (ET)2M(CF3)4(1,1,2-trihaloethane) (M=Cu,Ag,Au)	1996			Mol.Cryst.Liq.Cryst., 284(1996)195	J.A.Schlueter,Urs Geiser,H.H.Wang,M.E.Kelly,J.D.Dudek,J.M.Williams,D.Naumann,T.Roy		
328	JTL0420468	Hg3Cl8	(BEDT-TTF)4Hg3Cl8		BEDT-TTF	11.062	8.754	35.92		91.01		1.8			1.2																							space-G = I2/c			Superconductivity in a BEDT-TTF organic conductor with a chloromercurate anion	1985			JETP Lett., 42(1985)468	R.N.Lyubovskaya,R.B.Lyubovskii,R.P.Shibaeva,M.Z.Aldoshina,L.M.Gol'denberg,L.P.Rozenberg,M.L.Khidekel',Yu.F.Shul'pyakov		
329	PRL0783555	PF6	(TMTSF)2PF6	3	TMTSF							1.13			0.6							6											OHC329					Hc2(0) shows Hc2(0.11K)//b-axis.  Hc2//a, //b, //c-axis were measured. Figure shows Hc2(T) at P = 0.6 GPa.	OHC329.dat		Anisotropy of the Upper Critical Field in (TMTSF)2PF6	1997		Departments of Physics and Chemistry, State University of New York, Buffalo, New York 14260	Phys.Rev.Lett., 78(1997)3555	I.J.Lee,M.J.Naughton,G.M.Danner,P.M.Chaikin		
330	PR06214670	PF6	(TMTSF)2PF6	3	TMTSF							1.18			0.57							10											OHC330	OPH330				Hc2(T) at P = 5.7 kbar and phase diagram for H//b-axis.	OHC330.dat	OPH330.dat	Exceeding the Pauli paramagnetic limit in the critical field of (TMTSF)2PF6	2000		Department of Physics, Princeton University, Princeton, New Jersey 08544	Phys.Rev.B, 62(2000)R14669	I.J.Lee,P.M.Chaikin,M.J.Naughton		
331	ACS1223238	PF6	(TMTTF)2PF6	3	TMTTF							1.4	1.8	5.4	5.2																		OPH331					Prepared from acetonitrile solution with TMTTF, [Bu4N][PF6]	OPH331.dat		Superconducting transition of (TMTTF)2PF6 above 50 kbar [TMTTF = Tetramethyltetrathiafulvalene]	2000		Institute for Molecular Science,Okazaki 444-8585,Japan	J.Am.Chem.Soc., 122(2000)3238	T.Adachi,E.Ojima,K.Kato,H.Kobayashi,T.Miyazaki,M.Tokumoto,A.Kobayashi		
332	P074104504	Cu[N(CN)2]Cl	kappa'-(BEDT-TTF)2Cu[N(CN)2]Cl	3	BEDT-TTF	12.929	29.879	8.457				11.9			0								1.36										OHC332					ambient pressure SC. (dHc2/dT)//b = 0.075 T/K. (dHc2/dT)//ac = 1.36 T/K. lattice const. at 297 K.	OHC332.dat		Transport properties and structural features of the ambient-pressure superconductor kappa'-(BEDT-TTF)2Cu[N(CN)2]Cl	2006		Institute of Solid State Physics, Russian Academy of Sciences, Chernogolovka, Moscow Region, 142432 Russia	Phys.Rev.B, 74(2006)104504	V.N.Zverev,A.I.Manakov,S.S.Khasanov,R.P.Shibaeva,N.D.Kushch,A.V.Kazakova,L.I.Buravov,E.B.Yagubski,E.Canadell		
333	P074104504	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	3	BEDT-TTF	12.963	29.897	8.467																														lattice const. at 293 K.			Transport properties and structural features of the ambient-pressure superconductor kappa'-(BEDT-TTF)2Cu[N(CN)2]Cl	2006		Institute of Solid State Physics, Russian Academy of Sciences, Chernogolovka, Moscow Region, 142432 Russia	Phys.Rev.B, 74(2006)104504	V.N.Zverev,A.I.Manakov,S.S.Khasanov,R.P.Shibaeva,N.D.Kushch,A.V.Kazakova,L.I.Buravov,E.B.Yagubski,E.Canadell		
334	SSC1370637	CsCd(SCN)4	alpha-(BEDT-TTF)2CsCd(SCN)4	3	BEDT-TTF	10.198	20.35	9.95	92.63	90.27	88.5																											not SC(T > 0.6, P < 5 kbar). tricrinic. R measured for 0.6 < T < 300K. metallic behavior.			Structural and electronic properties of a new molecular conductor, alpha-(BEDT-TTF)2CsCd(SCN)4	2006		Department of Basic Science, University of Tokyo, 3-8-1, Komaba, Meguro-ku, Tokyo 153-8902, Japan	Solid State Commun., 137(2006)637	R.Kondo,M.Higa,S.Kagoshima		
335	JJP0452264	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							11.5			0												7.9											tunneling by STM. gap(d) = 2.1 - 3.9 meV. (2d/kTc) = 4.3 - 7.9.			Scanning Tunneling Spectroscopy on Organic Superconductors	2006		Division of Physics, Hokkaido University, Sapporo 060-0810, Japan	Jpn J.Appl.Phys.B, 45(2006)2264	K.Ichimura,K.Nomura,A.Kawamoto		
336	JJP0452264	Cu[N(CN)2]Br	kappa-(d[2:2]-BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							12			0												9.3											partially deutrated salt. tunneling by STM. gap(d) = 3.0 - 4.8 meV. (2d/kTc) = 5.8 - 9.3.			Scanning Tunneling Spectroscopy on Organic Superconductors	2006		Division of Physics, Hokkaido University, Sapporo 060-0810, Japan	Jpn J.Appl.Phys.B, 45(2006)2264	K.Ichimura,K.Nomura,A.Kawamoto		
337	JJP0452264	Cu[N(CN)2]Br	kappa-(d[3:3]-BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							12.1			0												6.4											partially deutrated salt. tunneling by STM. gap(d) = 1.4 - 3.3 meV. (2d/kTc) = 2.7 - 6.4.			Scanning Tunneling Spectroscopy on Organic Superconductors	2006		Division of Physics, Hokkaido University, Sapporo 060-0810, Japan	Jpn J.Appl.Phys.B, 45(2006)2264	K.Ichimura,K.Nomura,A.Kawamoto		
338	P071052501	AuI2	(MDT-TS)(AuI2)0.441		MDT-TS							3.2			1.05																		OTC338					Tc(on) = 4.3 K. T<MI> = 50 K. Figure shows pressure dependence of T<MI>, Tc(mid), Tc(on) .	OTC338.dat		Superconductivity competing with the incommensurate antiferromagnetic insulating state in the organic conductor (MDT-TS)(AuI2)0.441	2005		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, O-okayama, Meguro-ku, Tokyo 152-8552, Japan	Phys.Rev.B, 71(2005)052501	T.Kawamoto,Y.Bando,T.Mori,K.Takimiya,T.Otsubo		
339	EPL0720645	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x		TMTSF							1.2			0																		OTC339					Tc means Tc(on). Figure shows Tc,T<SDW> vs residual resistivity(Ohm.cm).	OTC339.dat		Impurity-controlled superconductivity/spin density wave interplay in the organic superconductor: (TMTSF)2ClO4	2005		Laboratoire de Physique des Solides (UMR 8502) - Universite Paris-Sud 91405, Orsay, France	Euroohys.Lett., 72(2005)645	N.Joo,P.Auban-Senzier,C.R.Pasquier,D.Jerome,K.Bechgaad		
340	JTL0820093	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	3	BEDT-TTF	12.932	29.877	8.458				11.5			0								1.36										OHC340					cond. plane = ac plane. anisotropy Rb/Rac = 200 - 400 (300K), 1000 - 1400 (15K). Hc2 measured by ab plane current. (dHc2/dT) data for H//ac.	OHC340.dat		Superconductivity at normal pressure in kappa-(BEDT-TTF)2Cu[N(CN)2]Cl crystals	2005			JETP Lett., 82(2005)93	E.B.Yagubskii,N.D.Kushch,A.V.Kazakova,L.I.Buravov,V.N.Zverev,A.I.Manakov,S.S.Khasanov,R.P.Shibaeva		
341	P074212508	Cu2(CN)3	kappa-(BEDT-TTF)2Cu2(CN)3	3	BEDT-TTF							4.7			0.35																							SC disappears at P=0.8 GPa. Insulator-to metal transition at 0.3 GPa. <13>C NMR measured.			Suppression of inhomogeneous electron localization in kappa-(BEDT-TTF)2Cu2(CN)3  under pressure	2006		Division of Physics, Graduate School of Science, Hokkaido University. Kita-ku, Sapporo, Hokkaido 060-0810, Japan	Phys.Rev.B, 74(2006)212508	A.Kawamoto,Y.Honma,K.Kumagai,N.Matsunaga,K.Nomura		
342	JPS0651340	Cu2(CN)3	kappa'-(BEDT-TTF)2Cu2(CN)3	3	BEDT-TTF	16.111	8.56	13.331		112.94		5.2			0																		OTC342					Tc depends on Cu(2+) content, which seems to increase with the growth rate of crystals. The content of Cu(2+) determined by ESR.	OTC342.dat		Realization of superconductivity at ambient pressure by band-filling control in kappa-(BEDT-TTF)2Cu2(CN)3	1996		Department of Chemistry, Kyoto University, Japan	J.Phys.Soc.Jpn, 65(1996)1340	T.Komatsu,N.Matsukawa,T.Inoue,G.Saito		
343	JPS0651340	Cu2(CN)3	kappa-(BEDT-TTF)2Cu2(CN)3		BEDT-TTF							3.9			0.06				-16														OTP343	OTC343					OTP343.dat	OTC343.dat	Realization of superconductivity at ambient pressure by band-filling control in kappa-(BEDT-TTF)2Cu2(CN)3	1996		Department of Chemistry, Kyoto University, Japan	J.Phys.Soc.Jpn, 65(1996)1340	T.Komatsu,N.Matsukawa,T.Inoue,G.Saito		
344	JPS0651340	Cu2(CN)3	kappa-(d8-BEDT-TTF)2Cu2(CN)3		BEDT-TTF							4.4			0.01				-16																			deutrated			Realization of superconductivity at ambient pressure by band-filling control in kappa-(BEDT-TTF)2Cu2(CN)3	1996		Department of Chemistry, Kyoto University, Japan	J.Phys.Soc.Jpn, 65(1996)1340	T.Komatsu,N.Matsukawa,T.Inoue,G.Saito		
345	JPS0651340	Cu2(CN)3	kappa'-(BEDT-TTF)2Cu2(CN)3		BEDT-TTF							4.1			0				-13														OTC345						OTC345.dat		Realization of superconductivity at ambient pressure by band-filling control in kappa-(BEDT-TTF)2Cu2(CN)3	1996		Department of Chemistry, Kyoto University, Japan	J.Phys.Soc.Jpn, 65(1996)1340	T.Komatsu,N.Matsukawa,T.Inoue,G.Saito		
346	JPS0651340	Cu2(CN)3	kappa'-(d8-BEDT-TTF)2Cu2(CN)3		BEDT-TTF							5.7			0																							deutrated			Realization of superconductivity at ambient pressure by band-filling control in kappa-(BEDT-TTF)2Cu2(CN)3	1996		Department of Chemistry, Kyoto University, Japan	J.Phys.Soc.Jpn, 65(1996)1340	T.Komatsu,N.Matsukawa,T.Inoue,G.Saito		
347	SSC0790057	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							11.5			0														22	210								SP-heat measured for H//b-axis. (dC/gamma*Tc) = 2 +- 0.5 mJ/mol.K2			SPECIFIC HEAT OF THE HIGH TC ORGANIC SUPERCONDUCTOR K-(ET)2CU(N(CN)2)BR	1991			SOLID STATE COMMUN,79(1991)57	B.ANDRAKA,C.S.JEE,G.R.STEWART,J.S.KIM		
348	JMC0051659	Cu[N(CN)2]Br	kappa-(BETS)2Cu[N(CN)2]Br		BETS	12.961	31.005	8.576												1.2																		not SC upto 5 kbar. electrochemical method. space-G = Pnma. XRD at 293 K. formula=C22H16N3S8Se8CuBr.			20 K crystal structure, electrical transport, electronic band structure, scanning tunnelling microscopy and pressure-RF impedance studies on the organic conducting salt kappa-(BEDT-TSF)2Cu[N(CN)2]Br	1995			J.Mater.Chem., 5(1995)1659	T.Burgin,T.Miebach,J.C.Huffman,L.K.Montgomery,J.A.Paradis,C.Rovira,M-H.Whangbo,S.N.Magonov,S.I.Khan,C.E.Strouse,D.L.Overmyer,J.E.Schirber		
349	JMC0120159	[Au(CN)4]	theta-(DIETS)2[Au(CN)4]		DIETS	4.274	11.114	37.426				8.6			1																							SC under uniaxial strain along c-axis (perpendicular to the donor layer). C20H8N4AuI4S8Se4 (M=1581.21, ortho, Pnnm)			A supramolecular superconductor theta-(DIETS)2[Au(CN)4]	2002		RIKEN (The Institute of Physical and Chemical Research), 2-1 Hirosawa, Wako, Saitama, Japan	J.Mater.Chem., 12(2002)159	T.Imakubo,N.Tajima,M.Tamura,R.Kato,Y.Nishio,K.Kajita		
350	PR05612905	Cu[N(CN)2]Br	kappa-(BEDT-TSF)2Cu[N(CN)2]Br		BETS															0.44																		R = A*T^2. not SC.(metallic). dHvA effect measured down to 440 mK, 38.5 T.			de Haas-van Alphen effect in the organic metal kappa-(BEDT-TSF)2Cu[N(CN)2]Br: Crossover to two-dimensional behavior in the complete-breakdown regime	1997		National High Magnetic Field Laboratory, LANL, Mailstop-E536, Los Alamos, New Mexico 87545	Phys.Rev.B, 56(1997)12905	N.Harrison,C.H.Mielke,D.G.Rickel,L.K.Montgomery,T.Burgin		
351	CL19871819	(CH3)4N	[(CH3)4N][Ni(dmit)2]2		Ni(dmit)2	13.675	6.476	36.048		94.74		5	5	0.7	0.3																							dTc/dP)>0. thermal expansion coeff. alpha(a) = 7.7E-5/K, alpha(b) = 3.2 E-5/K, alpha<c> = 2.5 E-5/K.			The first molecular superconductor based on pai-acceptor molecules and closed-shell cations, [(CH3)4N][Ni(dmit)2]2, low temperature X-ray studies and superconducting transition	1987			Chem.Lett., (1987)1819-1822	A.Kobayashi,H.Kim,Y.Sasaki,R.Kato,H.Kobayashi,S.Moriyama,Y.Nishio,K.Kajita,W.Sasaki		
352	CL19912163	Me4N	beta-[Me4N][Pd(dmit)2]2		Pd(dmit)2	14.541	6.329	35.136		90.98		6.2	6.2	0.65	0.6																							Me=CH3.  space-G = C2/c. M-I transition at about 30 K under low pressure.			New molecular superconductor, beta-[(CH3)4N][Pd(dmit)2]2	1991			Chem.Lett., (1991)2163-2166	A.Kobayashi,H.Kobayashi,A.Miyamoto,R.Kato,R.A.Clark,A.E.Underhill		
353	CL19931235	EDT-TTF	alpha-(EDT-TTF)[Ni(dmit)2]		Ni(dmit)2							1.3			0																							donor acceptor type. resistivity peak at 12 K. I//ab-plane. beta-type crystal is semiconductor.			First ambient-pressure superconductor based on Ni(dmit)2, alpha-EDT-TTF[Ni(dmit)2]	1993			Chem.Lett., (1993)1235-1238	H.Tajima,M.Inokuchi,A.Kobayashi,T.Ohta,R.Kato,H.Kobayashi,H.Kuroda		
354	SSC0650361	(CH3)4N	[(CH3)4N][Ni(dmit)2]2		Ni(dmit)2							5	5	0.7	0.32				7.9																			(dTc/dP) calculated from the Tc values of P=0.7 and 0.32 GPa. resistivity anomaly at about 100K.			Transport properties of ((CH3)4N)(Ni(dmit)2)2: A new organic superconductor	1988			Solid State Commun., 65(1988)361	K.Kajita,Y.Nishio,S.Moriyama,R.Kato,H.Kobayashi,W.Sasaki,A.Kobayashi,H.Kim,Y.Sasaki		
355	ACS1234174	SbF6	beta-(BDA-TTP)2SbF6		BDA-TTP	8.579	17.636	6.514	93.79	110.75	89	6.9			0																							resistive Tc = 7.5 K. form = C24H24S16SbF6.			New Organic Superconductors beta-(BDA-TTP)2X : X =  SbF6, AsF6, and PF6	2001		Faculty of Science, Himeji Institute of Technology, 3-2-1 Kouto, Kamigori-cho, Ako-gun, Hyogo 678-1297, Japan	J.Am.Chem.Soc., 123(2001)4174	J.Yamada,M.Watanabe,H.Akutsu,S.Nakatsuji,H.Nishikawa,I.Ikemoto,K.Kikuchi		
356	ACS1234174	AsF6	beta-(BDA-TTP)2AsF6		BDA-TTP	8.523	17.449	6.518	93.95	110.74	89.13	5.9			0																							resistive Tc = 5.8 K. form = C24H24S16AsF6			New Organic Superconductors beta-(BDA-TTP)2X : X =  SbF6, AsF6, and PF6	2001		Faculty of Science, Himeji Institute of Technology, 3-2-1 Kouto, Kamigori-cho, Ako-gun, Hyogo 678-1297, Japan	J.Am.Chem.Soc., 123(2001)4174	J.Yamada,M.Watanabe,H.Akutsu,S.Nakatsuji,H.Nishikawa,I.Ikemoto,K.Kikuchi		
357	ACS1234174	PF6	beta-(BDA-TTP)2PF6		BDA-TTP	8.503	17.34	6.533	94.07	110.73	89.36	5.9			0																							form = C24H24S16PF6			New Organic Superconductors beta-(BDA-TTP)2X : X =  SbF6, AsF6, and PF6	2001		Faculty of Science, Himeji Institute of Technology, 3-2-1 Kouto, Kamigori-cho, Ako-gun, Hyogo 678-1297, Japan	J.Am.Chem.Soc., 123(2001)4174	J.Yamada,M.Watanabe,H.Akutsu,S.Nakatsuji,H.Nishikawa,I.Ikemoto,K.Kikuchi		
358	ACS1240730	AsF6	beta''-(DODHT)AsF6		DODHT							3.3			1.65																							Tc decreases with increasing H at P=16.5 kbar. conductivity(300K) = 1.2 S/cm			New Organic Superconductors Consisting of an Unprecedented pai-Electron Donor	2002		Department of Chemistry, Graduate School of Science, Tokyo Metropolitan UniVersity, Hachioji, Tokyo 192-0397, Tokyo	J.Am.Chem.Soc., 124(2002)730	H.Nishikawa,T.Morimoto,T.Kodama,I.Ikemoto,K.Kikuchi,J.Yamada,H.Yoshino,K.Murata		
359	ACS1240730	PF6	beta''-(DODHT)PF6		DODHT							3.1			1.65																							Tc disappears at H = 1 T under P=16.5 kbar.  conductivity(300K) = 0.92 S/cm			New Organic Superconductors Consisting of an Unprecedented pai-Electron Donor	2002		Department of Chemistry, Graduate School of Science, Tokyo Metropolitan UniVersity, Hachioji, Tokyo 192-0397, Tokyo	J.Am.Chem.Soc., 124(2002)730	H.Nishikawa,T.Morimoto,T.Kodama,I.Ikemoto,K.Kikuchi,J.Yamada,H.Yoshino,K.Murata		
360	CC20030494	BF4:H2O	beta''-(DODHT)2BF4:H2O		DODHT	5.8088	16.095	17.193	72.109	87.783	86.951	3.2			1.55																							SC disappear at H=1.6 T under P=15.5 kbar. triclinic. formula = C40H44S24O10B2F8			A new organic superconductor, (DODHT)2BF4:H2O	2003		Department of Chemistry, Graduate School of Science, Tokyo Metropolitan University, Hachioji, Tokyo 192-0397, Japan.	Chem.Commun., (2003)494-495	H.Nishikawa,A.Machida,T.Morimoto,K.Kikuchi,T.Kodama,I.Ikemoto,J.Yamada,H.Yoshino,K.Murata		
361	CC20032230	GaCl4	beta-(BDA-TTP)2GaCl4		BDA-TTP	12.4693	38.768	7.735		91.199		3.1			0.76																							hydrostatic pressure. conductivity(RT) = 53 S/cm. M-I transition at 118 K.			A new organic superconductor, beta-(BDA-TTP)2GaCl4 [BDA-TTP = 2,5-(1,3-dithian-2-ylidene)-1,3,4,6-tetrathiapentalene]	2003		Department of Material Science, Graduate School of Science, Himeji Institute of Technology, 3-2-1 Kouto, Kamigori-cho, Ako-gun, Hyogo 678-1297, Japan.	Chem.Commun., (2003)2230-2231	J.Yamada,T.Toita,H.Akutsu,S.Nakatsuji,H.Nishikawa,I.Ikemoto,K.Kikuchi,F.S.Choi,D.Graf,J.S.Brooks		
362	CC20042454	PF6	beta-(meso-DMBEDT-TTF)2PF6		DMBEDT-TTF	9.115	15.649	6.737	90.84	109.37	88.87	4.3			0.4																							hydrostatic pressure. Tc(mid) = 3.8 K at P=4.0 kbar. M-I transition at 90 K. formula = C24H24S16PF6.			A new organic superconductor beta-(meso-DMBEDT-TTF)2PF6	2004		The Institute for Solid State Physics, The University of Tokyo, Kashiwa, Chiba 277-8581, Japan.	Chem.Commun., (2004)2454-2455	S.Kimura,T.Maejima,H.Suzuki,R.Chiba,H.Mori,T.Kawamoto,T.Mori,H.Moriyama,Y.Nishio,K.Kajita		
363	CC20061592	[Au(CN)4](THF)	kappa<H>-(DMEDO-TSeF)2[Au(CN)4](THF)		DMEDO-TSeF	38.868	11.1527	8.2788		95.033		4.8			0																							R decreases monotonously with decreasing T. Tc(sus) = 4.6 K. space-G = P2<1>/c. monoclinic, formula = C28H28AuN4O5Se8.			New ambient pressure organic superconductors k<H>- and k<L>-(DMEDOTSeF)2[Au(CN)4](THF)	2006		RIKEN, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan.	Chem.Commun., (2006)1592-1594	T.Shirahata,M.Kibune,T.Imakubo		
364	CC20061592	[Au(CN)4](THF)	kappa<L>-(DMEDO-TSeF)2[Au(CN)4](THF)		DMEDO-TSeF	8.3269	38.638	11.1203				3			0																							R shows broad maximum around 110K. Tc(sus) = 2.8 K. orth-.  formula = C28H28AuN4O5Se8.			New ambient pressure organic superconductors k<H>- and k<L>-(DMEDOTSeF)2[Au(CN)4](THF)	2006		RIKEN, 2-1 Hirosawa, Wako, Saitama, 351-0198, Japan.	Chem.Commun., (2006)1592-1594	T.Shirahata,M.Kibune,T.Imakubo		
365	CL19880865	Et2Me2N	alpha-Et2Me2N[Ni(dmit)2]2		Ni(dmit)2	38.95	6.494	13.835		99.63										1.5																		Me=CH3, Et=C2H5. not SC down to 1.5 K under P=5 kbar. monoclinic, space-G = C2/c.			Crystal and electronic structures of a new two-dimensional molecular metal, alpha-Et2Me2N[Ni(dmit)2]2	1988		Toho University,Funabashi, Chiba	Chem.Lett., (1988)865-868	R.Kato,H.Kobayashi,H.Kim,A.Kobayashi,Y.Sasaki,T.Mori,H.Inokuchi		
366	CL19891839	EDT-TTF	alpha-(EDT-TTF)[Ni(dmit)2]		Ni(dmit)2	6.658	7.626	27.385	93.23	91.43	119.29									4.2																		not SC down to 4.2 K. conductivity(RT) = 100 S/cm. R has a peak at 14 K.			New molecular conductors, alpha- and beta-(EDT-TTF)[Ni(dmit)2] metal with anomalous resistivity maximum vs semiconductor with mixed stacks	1989		Toho University,Funabashi, Chiba	Chem.Lett., (1989)1839-1842	R.Kato,H.Kobayashi,A.Kobayashi,T.Naito,M.Tamura,H.Tajima,H.Kuroda		
