data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
21	JPS0711832	I3	alpha-(BEDT-TTF)2I3	2	BEDT-TTF							7	7	0.2	0.15																							not s/c for hydrostatic pressure. s/c only for a-axial pressure. M-I phase transition at 135 K under P = 0.			Effects of Uniaxial Strain on Transport Properties of Organic Conductor alpha-(BEDT-TTF)2I3 and Discovery of Superconductivity	2002		Condensed Molecular Materials Laboratory, RIKEN, Wako, Saitama, Japan	J.Phys.Soc.Jpn, 71(2002)1832	A.Ebina-Tajima,K.Kajita,M.Tamura,N.Tajima,Y.Nishio		
22	P066134503	GaCl4	Lamda-(BETS)2GaCl4	2	BETS							5.6			0	1							4.3	116														Hc2 determined from RES(mid) and thermal conductivity. dHc2/dT for //c = 0.45 T/K. cohere<c> = 12 A. RRR=20.			Magnetic field-temperature phase diagram of the quasi-two-dimensional organic superconductor lamda-(BETS)2GaCl4 studied via thermal conductivity	2002		Department of Physics, Kyoto University, Kyoto 606-8502, Japan	Phys.Rev.B, 66(2002)134503	H.Kobayashi,H.Tanaka,M.A.Tanatar,T.Ishiguro		
23	EPJ0250319	PF6	(TMTSF)2PF6	2	TMTSF							1.21	1.21	0.89	0.865	1																						SDW-region for 0 - 0.93 GPa. T<SDW>(P=0) = 10.2 K.			Coexistence of superconductivity and spin density wave orderings in the organic superconductor (TMTSF)2PF6	2002		Universite Paris-Sud, Orsay, France	Eur.Phys.J.B, 25(2002)319	C.Pasquier,D.Jerome,K.Bechgaard,M.Heritier,P.Auban-Senzier,S.Tomic,T.Vuletic		
24	JPS0710717	SbF6	beta-(BDA-TTF)2SbF6	2	BDA-TTF							6.31			0	1					0.5	12		105	0.68	260												Hc1(0)//c = 1.5 mT. Hc2(0)//c = 3 T. cohere< c > =26 A. penet< c > = 0.27 micron. G-L< c > = 60.			Superconductivity of Layered Organic Compound beta-(BDA-TTP)2SbF6, Where BDA-TTP is 2,5-Bis(1,3-dithian-2-ylidene)-1,3,4,6-tetrathiapentalene	2002		Physics Department, Kyoto University, Kyoto 606-8	J.Phys.Soc.Jpn, 71(2002)717	J.Yamada,T.Ishiguro,T.Toita,Y.Shimojo		
25	PRL0691443	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.15			0										0.62																Magnetic penetration depth of kappa-(BEDT-TTF)2Cu(NCS)2: Strong evidence for conventional Cooper pairing	1992		Institute for Materials Research, Tohoku University, Sendai, Japan	Phys.Rev.Lett., 69(1992)1443	H.Sato,M.Lang,N.Toyota,T.Sasaki		
26	P064214517	BF4	(TMET-STF)2BF4	2	TMET-STF							4.1			0	1																						cohere(T) for H//ab and H//c were calculated from Hc2(T).			Anisotropic superconductivity and dimensional crossover in (TMET-STF)2BF4	2001		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 64(2001)214517	C.Terakura,R.Kato,S.Uji,T.Terashima,Y.Okano		
27	PR05508670	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF																								0.06	212								substitution of all 8 H atoms with D.			Low-temperature specific heat of k-(BEDT-TTF)2Cu[N(CN)2]Br in the superconducting state	1997		Institute for Molecular Science, Myodaiji, Okazaki 444, Japan	Phys.Rev.B,55(1997)R8670	K. Kanoda,K.Kanoda,Y. Nakazawa,Y.Nakazawa		
28	PR05508670	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							12			0															213.7								hydrated. h8-BEDT-TTF			Low-temperature specific heat of k-(BEDT-TTF)2Cu[N(CN)2]Br in the superconducting state	1997		Institute for Molecular Science, Myodaiji, Okazaki 444, Japan	Phys.Rev.B,55(1997)R8670	K. Kanoda,K.Kanoda,Y. Nakazawa,Y.Nakazawa		
29	PHC2590181	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9			0									81	0.6	74												single crystal(200*350*10 um3)			Fluctuation effects in the organic superconductor k-(BEDT-TTF)2Cu(NCS)2	1996		Laboratoire de Physique des Solides, URA 2 CNRS,Universite' Paris-Sud, F-91405 Orsay-Cedex, France	Physica C,259(1996)181-186	C. Pasquier,C.Pasquier,D. je'rome,D.Jerome,S. Friemel,S.Friemel,Y. Loirat,Y.Loirat		
30	PHC2590181	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.4			0									57	0.7	122												single crystal(125*400*20 um3)			Fluctuation effects in the organic superconductor k-(BEDT-TTF)2Cu(NCS)2	1996		Laboratoire de Physique des Solides, URA 2 CNRS,Universite' Paris-Sud, F-91405 Orsay-Cedex, France	Physica C,259(1996)181-186	C. Pasquier,C.Pasquier,D. je'rome,D.Jerome,S. Friemel,S.Friemel,Y. Loirat,Y.Loirat		
